"VPanswer","accuracy","average_response_time","background","bidi","block_nr","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct_answer","correct_selection","count_Question","count_calculateMathTask","count_calculateMathTask_1","count_feedback","count_fixation_dot","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_select_target","count_showMathTask","count_showMathTask_2","currentSlope","datetime","description","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","foreground","height","itemIds","keyboard_backend","left_2nd_target","live_row","logfile","loop_rt","mouse_backend","opensesame_codename","opensesame_version","questionAbout","randomNumb1","randomNumb1x","randomNumb2","randomNumb2x","randomNumb3","randomNumb3x","randomNumb4","randomNumb4x","randomNumbx1","randomNumbx2","randomNumbx3","randomNumbx4","response_time","response_time_Question","response_time_feedback","right_1st_target","subject_nr","time_Form_blockNum","time_Question","time_calculateMathTask","time_calculateMathTask_1","time_experiment","time_eye_tracker__collect_Pupil_Trace","time_feedback","time_fixation_dot","time_globals","time_kill_blicks","time_logger","time_new_loop","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_select_target","time_showMathTask","time_showMathTask_2","time_vp_fragen","time_vp_fragen2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"N","100","10.0269990813","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","N","1","0","0","0","0","0","0","0","0","NA","0","0","0","1","1","0.32176861646","03/28/17 16:17:28","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","0","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_3.csv","10.0269990813","psycho","Jazzy James","3.1.4"," vp_haarfarbe_fake","59","9","47","7","69","9","76","6","5","4","6","7","3346.64812097","4954.13921646","3346.64812097","Y","23","48310.0818113","76282.2982589","81762.5161609","91774.9059766","5236.73919504","48309.9004778","102369.391145","81262.5132945","48181.2076932","NA","105716.72085","73639.2012274","74786.7738174","5238.35550721","NA","75898.1430664","NA","101800.337624","86774.7922283","96800.497234","48309.7390578","48309.8138842","mental arithmetic experiment","1","10.0269990813","1","yes","1440"
"Y","100","10.0275477584","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","Y","1","1","1","1","1","1","1","1","0","NA","1","1","1","3","3","0.00556839291489","03/28/17 16:17:28","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","1","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_3.csv","10.0280964356","psycho","Jazzy James","3.1.4"," vp_alter","57","7","45","5","94","4","69","9","5","4","9","6","2454.25764143","2406.96037063","2454.25764143","N","23","48310.0818113","108988.988741","111919.815891","121936.219785","5236.73919504","48309.9004778","132477.375099","111419.98591","48181.2076932","NA","134932.295015","73639.2012274","107613.159201","5238.35550721","NA","108608.820774","105720.641697","131962.615427","116936.249353","126962.332715","48309.7390578","48309.8138842","mental arithmetic experiment","2","20.0550955169","2","yes","1440"
"N","100","10.0274001673","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","N","1","2","2","2","2","2","2","2","0","NA","2","2","2","5","5","0.113875054216","03/28/17 16:17:28","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","2","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_3.csv","10.0271049849","psycho","Jazzy James","3.1.4"," vp_monat_fake","35","5","86","6","41","1","38","8","3","8","4","3","2401.19782701","2216.84712016","2401.19782701","Y","23","48310.0818113","138514.548469","141242.043427","151259.443297","5236.73919504","48309.9004778","161817.896199","140742.721843","48181.2076932","NA","164219.834446","73639.2012274","136702.923814","5238.35550721","NA","138135.491433","134935.084715","161284.872531","146259.256834","156284.674905","48309.7390578","48309.8138842","mental arithmetic experiment","3","30.0822005018","3","yes","1440"
"Y","100","10.0265489155","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","Y","1","3","3","3","3","3","3","3","0","NA","3","3","3","7","7","-0.15894795341","03/28/17 16:17:28","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","3","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_3.csv","10.0239951604","psycho","Jazzy James","3.1.4"," vp_name","79","9","52","2","41","1","73","3","7","5","4","7","2333.01763401","2586.96299559","2333.01763401","Y","23","48310.0818113","168040.139877","171152.281227","181172.713078","5236.73919504","48309.9004778","191709.728799","170652.350773","48181.2076932","NA","194043.478707","73639.2012274","165983.288654","5238.35550721","NA","167668.895872","164242.967594","191195.110935","176172.517262","186194.916024","48309.7390578","48309.8138842","mental arithmetic experiment","4","40.1061956622","4","yes","1440"
"N","100","10.027261336","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","N","1","4","4","4","4","4","4","4","0","NA","4","4","4","9","9","0.0495589778853","03/28/17 16:17:28","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","4","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_3.csv","10.0301110177","psycho","Jazzy James","3.1.4"," vp_name_fake","35","5","52","2","24","4","39","9","3","5","2","3","2223.71425942","2724.03212107","2223.71425942","Y","23","48310.0818113","198150.47634","201397.551243","211413.996473","5236.73919504","48309.9004778","221954.600848","200897.533894","48181.2076932","NA","224179.067596","73639.2012274","195903.14407","5238.35550721","NA","197772.90467","194046.289829","221442.380146","206413.564109","216442.219027","48309.7390578","48309.8138842","mental arithmetic experiment","5","50.1363066799","5","yes","1440"
"Y","83.3333333333","10.0272135536","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","N","0","5","5","5","5","5","5","5","0","NA","5","5","5","11","11","0.0281350979265","03/28/17 16:17:28","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","5","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_3.csv","10.026974642","psycho","Jazzy James","3.1.4"," TU_Dresden","68","8","31","1","21","1","93","3","6","3","2","9","2778.62436959","1770.83034757","2778.62436959","N","23","48310.0818113","227943.255585","230233.756093","240250.211279","5236.73919504","48309.9004778","250791.23082","229733.766804","48181.2076932","NA","253570.628195","73639.2012274","226218.38589","5238.35550721","NA","227559.032807","224181.741435","250275.620298","235250.012446","245275.444697","48309.7390578","48309.8138842","mental arithmetic experiment","5","60.1632813219","6","yes","1440"
"Y","85.7142857143","10.0271794234","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","Y","1","6","6","6","6","6","6","6","0","NA","6","6","6","13","13","-0.172241366097","03/28/17 16:17:28","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","6","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_3.csv","10.026974642","psycho","Jazzy James","3.1.4"," vp_haarfarbe","25","5","76","6","89","9","68","8","2","7","8","6","3058.63680044","1765.44676383","3058.63680044","Y","23","48310.0818113","256860.340008","259136.981325","269154.443953","5236.73919504","48309.9004778","279694.817211","258637.399961","48181.2076932","NA","282754.274387","73639.2012274","255379.779051","5238.35550721","NA","256467.520936","253573.64328","279179.858403","264154.214948","274179.64026","48309.7390578","48309.8138842","mental arithmetic experiment","6","70.1902559639","7","yes","1440"
"N","87.5","10.0268974772","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","N","1","7","7","7","7","7","7","7","0","NA","7","7","7","15","15","0.108618441852","03/28/17 16:17:28","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","7","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_3.csv","10.0249238535","psycho","Jazzy James","3.1.4"," Sonntag","78","8","62","2","76","6","76","6","7","6","7","7","2343.29631736","2163.19653867","2343.29631736","Y","23","48310.0818113","286134.149988","288812.325248","298832.683781","5236.73919504","48309.9004778","309369.704933","288312.381518","48181.2076932","NA","311713.830678","73639.2012274","284531.255893","5238.35550721","NA","285756.727669","282756.971157","308856.087571","293832.272537","303855.956021","48309.7390578","48309.8138842","mental arithmetic experiment","7","80.2151798174","8","yes","1440"
"N","77.7777777778","10.0272539338","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","Y","0","8","8","8","8","8","8","8","0","NA","8","8","8","17","17","-0.0388981759521","03/28/17 16:17:28","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","8","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_3.csv","10.0301055868","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe","97","7","97","7","57","7","93","3","9","9","5","9","2403.00060193","2949.42575207","2403.00060193","N","23","48310.0818113","315523.406958","319008.511511","329022.936426","5236.73919504","48309.9004778","339581.600834","318508.5533","48181.2076932","NA","341985.534655","73639.2012274","313528.771835","5238.35550721","NA","315146.200067","311716.595939","339051.399149","324022.710136","334051.731343","48309.7390578","48309.8138842","mental arithmetic experiment","7","90.2452854042","9","yes","1440"
"Y","80","10.0271274931","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","Y","1","9","9","9","9","9","9","9","0","NA","9","9","9","19","19","-0.102146603245","03/28/17 16:17:28","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","9","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_3.csv","10.0259895273","psycho","Jazzy James","3.1.4"," vp_monat","85","5","86","6","41","1","67","7","8","8","4","6","1692.4559527","2193.701904","1692.4559527","Y","23","48310.0818113","345198.64015","347910.735638","357928.178654","5236.73919504","48309.9004778","368467.948472","347411.504269","48181.2076932","NA","370161.538287","73639.2012274","343810.487775","5238.35550721","NA","344828.931294","341988.222072","367952.5923","352927.95689","362952.41519","48309.7390578","48309.8138842","mental arithmetic experiment","8","100.271274931","10","yes","1440"
