"VPanswer","accuracy","average_response_time","background","bidi","block_nr","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct_answer","correct_selection","count_Question","count_calculateMathTask","count_calculateMathTask_1","count_feedback","count_fixation_dot","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_select_target","count_showMathTask","count_showMathTask_2","currentSlope","datetime","description","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","foreground","height","itemIds","keyboard_backend","left_2nd_target","live_row","logfile","loop_rt","mouse_backend","opensesame_codename","opensesame_version","questionAbout","randomNumb1","randomNumb1x","randomNumb2","randomNumb2x","randomNumb3","randomNumb3x","randomNumb4","randomNumb4x","randomNumbx1","randomNumbx2","randomNumbx3","randomNumbx4","response_time","response_time_Question","response_time_feedback","right_1st_target","subject_nr","time_Form_blockNum","time_Question","time_calculateMathTask","time_calculateMathTask_1","time_experiment","time_eye_tracker__collect_Pupil_Trace","time_feedback","time_fixation_dot","time_globals","time_kill_blicks","time_logger","time_new_loop","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_select_target","time_showMathTask","time_showMathTask_2","time_vp_fragen","time_vp_fragen2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Y","100","10.0596924005","#4c4c4c","no","6","psycho","psycho","psycho","0","uniform","Y","1","0","0","0","0","0","0","0","0","NA","0","0","0","1","1","0.000191918811355","03/13/17 11:10:21","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","0","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP07/subject-7_6.csv","10.0596924005","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe","24","4","23","3","21","1","72","2","2","2","2","7","2569.98951537","4195.35689232","2569.98951537","N","7","83476.1501037","112866.795097","117575.820479","127591.227607","4581.0920611","83464.2591741","138307.378918","117075.78895","83311.5127286","NA","140878.323062","111727.309372","112814.273883","4585.85826891","NA","112814.606977","NA","137649.39423","122591.475316","132649.365265","83464.10198","83464.177409","mental arithmetic experiment","1","10.0596924005","1","yes","1440"
"N","100","10.0493596832","#4c4c4c","no","6","psycho","psycho","psycho","0","uniform","N","1","1","1","1","1","1","1","1","0","NA","1","1","1","3","3","-9.97193580346e-05","03/13/17 11:10:21","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","1","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP07/subject-7_6.csv","10.0390269659","psycho","Jazzy James","3.1.4"," vp_alter_fake","79","9","51","1","57","7","67","7","7","5","5","6","985.607241186","1050.94052423","985.607241186","N","7","83476.1501037","142354.495493","144055.566434","154096.891571","4581.0920611","83464.2591741","164747.219008","143555.532491","83311.5127286","NA","165733.538601","111727.309372","142297.35742","4585.85826891","NA","142297.678748","140882.574543","164134.193928","149096.729549","159134.081991","83464.10198","83464.177409","mental arithmetic experiment","2","20.0987193664","2","yes","1440"
"Y","100","10.0415414671","#4c4c4c","no","6","psycho","psycho","psycho","0","uniform","Y","1","2","2","2","2","2","2","2","0","NA","2","2","2","5","5","0.00044014433621","03/13/17 11:10:21","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","2","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP07/subject-7_6.csv","10.0259050349","psycho","Jazzy James","3.1.4"," TU_Chemnitz","62","2","53","3","85","5","56","6","6","5","8","5","1854.0418631","2124.27652272","1854.0418631","N","7","83476.1501037","167208.4571","170001.365265","180023.657854","4581.0920611","83464.2591741","190662.06419","169501.345201","83311.5127286","NA","192516.8","111727.309372","167158.777145","4585.85826891","NA","167159.093343","165736.896097","190048.002414","175024.114049","185047.807807","83464.10198","83464.177409","mental arithmetic experiment","3","30.1246244013","3","yes","1440"
"N","100","10.0417516123","#4c4c4c","no","6","psycho","psycho","psycho","0","uniform","N","1","3","3","3","3","3","3","3","0","NA","3","3","3","7","7","0.000631542476933","03/13/17 11:10:21","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","3","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP07/subject-7_6.csv","10.0423820479","psycho","Jazzy James","3.1.4"," vp_haarfarbe_fake","97","7","59","9","83","3","89","9","9","5","8","8","2025.27656044","2344.16111635","2025.27656044","Y","7","83476.1501037","193859.851707","196891.206939","206912.54852","4581.0920611","83464.2591741","217577.977748","196391.125325","83311.5127286","NA","219604.318461","111727.309372","193803.194871","4585.85826891","NA","193803.517104","192519.644579","216952.911484","201912.569338","211952.691533","83464.10198","83464.177409","mental arithmetic experiment","4","40.1670064492","4","yes","1440"
"N","100","10.0389741656","#4c4c4c","no","6","psycho","psycho","psycho","0","uniform","N","1","4","4","4","4","4","4","4","0","NA","4","4","4","9","9","-0.00103600289754","03/13/17 11:10:21","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","4","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP07/subject-7_6.csv","10.0278643787","psycho","Jazzy James","3.1.4"," TU_Dresden","73","3","69","9","46","6","82","2","7","6","4","8","2717.03262304","2375.27950217","2717.03262304","N","7","83476.1501037","221171.891835","224202.991816","234229.343692","4581.0920611","83464.2591741","244893.625797","223702.986536","83311.5127286","NA","247611.494173","111727.309372","221107.049745","4585.85826891","NA","221107.371073","219607.081878","244255.605054","229229.149689","239255.447256","83464.10198","83464.177409","mental arithmetic experiment","5","50.1948708278","5","yes","1440"
"N","100","10.0345077126","#4c4c4c","no","6","psycho","psycho","psycho","0","uniform","N","1","5","5","5","5","5","5","5","0","NA","5","5","5","11","11","0.000820624454832","03/13/17 11:10:21","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","5","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP07/subject-7_6.csv","10.0121754479","psycho","Jazzy James","3.1.4"," vp_name_fake","37","7","56","6","87","7","58","8","3","5","8","5","1897.40388459","1460.58819536","1897.40388459","Y","7","83476.1501037","248853.849368","250825.862493","260873.103375","4581.0920611","83464.2591741","271536.540373","250325.769112","83311.5127286","NA","273434.985782","111727.309372","248795.866491","4585.85826891","NA","248796.182387","247615.081878","270883.671582","255872.998982","265883.742485","83464.10198","83464.177409","mental arithmetic experiment","6","60.2070462757","6","yes","1440"
"N","100","10.0334182808","#4c4c4c","no","6","psycho","psycho","psycho","0","uniform","N","1","6","6","6","6","6","6","6","0","NA","6","6","6","13","13","-0.00189141597352","03/13/17 11:10:21","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","6","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP07/subject-7_6.csv","10.0268816896","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe_fake","73","3","59","9","38","8","65","5","7","5","3","6","980.051442581","2376.33279276","980.051442581","N","7","83476.1501037","274681.501641","277712.778729","287767.04175","4581.0920611","83464.2591741","298453.22723","277212.605091","83311.5127286","NA","299434.073996","111727.309372","274612.716425","4585.85826891","NA","274613.055855","273437.696398","297792.220253","282766.934942","292791.915218","83464.10198","83464.177409","mental arithmetic experiment","7","70.2339279653","7","yes","1440"
"Y","87.5","10.0346025646","#4c4c4c","no","6","psycho","psycho","psycho","0","uniform","N","0","7","7","7","7","7","7","7","0","NA","7","7","7","15","15","-2.33331200324e-05","03/13/17 11:10:21","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","7","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP07/subject-7_6.csv","10.0428925514","psycho","Jazzy James","3.1.4"," vp_monat_fake","39","9","45","5","95","5","21","1","3","4","9","2","3454.34991514","1952.86260607","3454.34991514","Y","7","83476.1501037","300816.278786","303419.418141","313436.684141","4581.0920611","83464.2591741","324162.026626","302919.355535","83311.5127286","NA","327617.32212","111727.309372","300760.179823","4585.85826891","NA","300760.616104","299437.22029","323478.016217","308436.707675","318477.85148","83464.10198","83464.177409","mental arithmetic experiment","7","80.2768205167","8","yes","1440"
"N","77.7777777778","10.0339867664","#4c4c4c","no","6","psycho","psycho","psycho","0","uniform","Y","0","8","8","8","8","8","8","8","0","NA","8","8","8","17","17","6.74848523875e-05","03/13/17 11:10:21","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","8","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP07/subject-7_6.csv","10.0290603809","psycho","Jazzy James","3.1.4"," vp_name","63","3","89","9","41","1","79","9","6","8","4","7","1366.71740524","999.363680936","1366.71740524","Y","7","83476.1501037","328881.073506","330546.363945","340608.528606","4581.0920611","83464.2591741","351256.96006","330046.190911","83311.5127286","NA","352624.704809","111727.309372","328842.350669","4585.85826891","NA","328842.66898","327619.995927","350635.944333","335608.326758","345635.99472","83464.10198","83464.177409","mental arithmetic experiment","7","90.3058808976","9","yes","1440"
"N","80","10.0364695305","#4c4c4c","no","6","psycho","psycho","psycho","0","uniform","N","1","9","9","9","9","9","9","9","0","NA","9","9","9","19","19","0.00745355896806","03/13/17 11:10:21","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","9","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP07/subject-7_6.csv","10.0588144069","psycho","Jazzy James","3.1.4"," Sonntag","32","2","82","2","47","7","79","9","3","8","4","7","1502.56443523","1020.85883462","1502.56443523","Y","7","83476.1501037","353978.903111","355648.961569","365707.284782","4581.0920611","83464.2591741","376376.594682","355148.983745","83311.5127286","NA","377880.240769","111727.309372","353927.051103","4585.85826891","NA","353927.367","352627.93498","375764.59604","360707.275127","370764.551688","83464.10198","83464.177409","mental arithmetic experiment","8","100.364695305","10","yes","1440"
