"VPanswer","accuracy","average_response_time","background","bidi","block_nr","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct_answer","correct_selection","count_Question","count_calculateMathTask","count_calculateMathTask_1","count_feedback","count_fixation_dot","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_select_target","count_showMathTask","count_showMathTask_2","currentSlope","datetime","description","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","foreground","height","itemIds","keyboard_backend","left_2nd_target","live_row","logfile","loop_rt","mouse_backend","opensesame_codename","opensesame_version","questionAbout","randomNumb1","randomNumb1x","randomNumb2","randomNumb2x","randomNumb3","randomNumb3x","randomNumb4","randomNumb4x","randomNumbx1","randomNumbx2","randomNumbx3","randomNumbx4","response_time","response_time_Question","response_time_feedback","right_1st_target","subject_nr","time_Form_blockNum","time_Question","time_calculateMathTask","time_calculateMathTask_1","time_experiment","time_eye_tracker__collect_Pupil_Trace","time_feedback","time_fixation_dot","time_globals","time_kill_blicks","time_logger","time_new_loop","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_select_target","time_showMathTask","time_showMathTask_2","time_vp_fragen","time_vp_fragen2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Y","100","10.0315101343","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","1","0","0","0","0","0","0","0","0","NA","0","0","0","1","1","0.010295441201","03/22/17 08:57:41","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","0","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP17/subject-17_2.csv","10.0315101343","psycho","Jazzy James","3.1.4"," vp_alter","35","5","34","4","72","2","76","6","3","3","7","7","1512.12891406","2114.99176018","1512.12891406","N","17","39197.3265701","64784.8110394","67462.165331","77503.0252891","10092.5493469","39063.2118571","88326.9427232","66957.4383733","38826.3275277","NA","89841.4120349","61426.0160379","63744.511063","10095.021292","NA","64751.5929005","NA","87532.6696223","72495.5774721","82532.7951354","39063.0616034","39063.1300926","mental arithmetic experiment","1","10.0315101343","1","yes","1440"
"N","50","10.0291246303","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","0","1","1","1","1","1","1","1","0","NA","1","1","1","3","3","0.000168912277642","03/22/17 08:57:41","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","1","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP17/subject-17_2.csv","10.0267391264","psycho","Jazzy James","3.1.4"," vp_monat","23","3","48","8","53","3","95","5","2","4","5","9","1636.99216207","1334.80056988","1636.99216207","Y","17","39197.3265701","92258.1844524","94135.9047838","104167.271604","10092.5493469","39063.2118571","115007.586304","93635.6863427","38826.3275277","NA","116645.991997","61426.0160379","91554.0050459","10095.021292","NA","92222.9206908","89846.5985034","114191.422625","99167.3023787","109191.748476","39063.0616034","39063.1300926","mental arithmetic experiment","1","20.0582492606","2","yes","1440"
"Y","33.3333333333","10.0294952863","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","0","2","2","2","2","2","2","2","0","NA","2","2","2","5","5","0.00203531565099","03/22/17 08:57:41","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","2","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP17/subject-17_2.csv","10.0302365983","psycho","Jazzy James","3.1.4"," vp_alter_fake","79","9","38","8","46","6","36","6","7","3","4","3","1510.48909695","1548.51052711","1510.48909695","N","17","39197.3265701","119255.946034","121340.645681","131360.343399","10092.5493469","39063.2118571","142166.819636","120840.588053","38826.3275277","NA","143678.1478","61426.0160379","118262.197856","10095.021292","NA","119224.186382","116650.30802","141387.033044","126357.157296","136386.559655","39063.0616034","39063.1300926","mental arithmetic experiment","1","30.088485859","3","yes","1440"
"N","25","10.0311823971","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","0","3","3","3","3","3","3","3","0","NA","3","3","3","7","7","-0.0012999191909","03/22/17 08:57:41","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","3","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP17/subject-17_2.csv","10.0362437296","psycho","Jazzy James","3.1.4"," TU_Chemnitz","46","6","87","7","29","9","63","3","4","8","2","6","3354.44216952","1971.27348167","3354.44216952","N","17","39197.3265701","145891.879179","148405.490114","158456.522369","10092.5493469","39063.2118571","169262.423236","147901.973332","38826.3275277","NA","172619.053136","61426.0160379","145564.861631","10095.021292","NA","145851.221671","143684.66151","168489.525687","153435.878474","163485.915072","39063.0616034","39063.1300926","mental arithmetic experiment","1","40.1247295886","4","yes","1440"
"Y","20","10.034321689","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","0","4","4","4","4","4","4","4","0","NA","4","4","4","9","9","-0.00122496598776","03/22/17 08:57:41","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","4","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP17/subject-17_2.csv","10.0468788563","psycho","Jazzy James","3.1.4"," vp_haarfarbe_fake","46","6","62","2","72","2","87","7","4","6","7","8","2567.66757362","1197.05201011","2567.66757362","Y","17","39197.3265701","174626.489186","176418.939028","186469.225747","10092.5493469","39063.2118571","197290.236767","175918.589039","38826.3275277","NA","199859.217401","61426.0160379","174346.528506","10095.021292","NA","174556.683364","172623.292222","196514.338066","181466.613806","191514.305179","39063.0616034","39063.1300926","mental arithmetic experiment","1","50.1716084449","5","yes","1440"
"N","33.3333333333","10.0342348657","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","1","5","5","5","5","5","5","5","0","NA","5","5","5","11","11","0.00119218678657","03/22/17 08:57:41","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","5","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP17/subject-17_2.csv","10.0338007491","psycho","Jazzy James","3.1.4"," vp_name_fake","38","8","35","5","71","1","57","7","3","3","7","5","1485.63085741","1221.57413995","1485.63085741","Y","17","39197.3265701","201700.171132","203516.788288","213542.82623","10092.5493469","39063.2118571","224336.662147","203017.08608","38826.3275277","NA","225824.888351","61426.0160379","201456.972225","10095.021292","NA","201672.627937","199861.919856","223571.079057","208542.425855","218569.718024","39063.0616034","39063.1300926","mental arithmetic experiment","2","60.205409194","6","yes","1440"
"Y","42.8571428571","10.032716388","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","1","6","6","6","6","6","6","6","0","NA","6","6","6","13","13","7.80296599917e-05","03/22/17 08:57:41","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","6","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP17/subject-17_2.csv","10.0236055219","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe","62","2","27","7","91","1","69","9","6","2","9","6","1324.73115749","1386.26608665","1324.73115749","N","17","39197.3265701","228094.682165","230047.245137","240084.157768","10092.5493469","39063.2118571","250955.473912","229547.589997","38826.3275277","NA","252281.904927","61426.0160379","227468.238839","10095.021292","NA","228051.483016","225828.546033","250105.81331","235081.892195","245105.701676","39063.0616034","39063.1300926","mental arithmetic experiment","3","70.2290147158","7","yes","1440"
"Y","37.5","10.0330253434","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","0","7","7","7","7","7","7","7","0","NA","7","7","7","15","15","-0.00111439341626","03/22/17 08:57:41","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","7","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP17/subject-17_2.csv","10.0351880314","psycho","Jazzy James","3.1.4"," Sonntag","47","7","53","3","46","6","74","4","4","5","4","7","3339.52903608","1062.34261829","3339.52903608","Y","17","39197.3265701","254129.926617","255751.887675","265773.449988","10092.5493469","39063.2118571","276659.720601","255252.199648","38826.3275277","NA","280001.830199","61426.0160379","253879.002014","10095.021292","NA","254099.362055","252286.70309","275805.990778","260773.224004","270799.630943","39063.0616034","39063.1300926","mental arithmetic experiment","3","80.2642027472","8","yes","1440"
"N","44.4444444444","10.0368126622","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","1","8","8","8","8","8","8","8","0","NA","8","8","8","17","17","-0.00129308390715","03/22/17 08:57:41","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","8","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP17/subject-17_2.csv","10.0671112125","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe_fake","94","4","84","4","94","4","86","6","9","8","9","8","1219.91109084","1333.67638247","1219.91109084","N","17","39197.3265701","281857.516336","283764.665577","293798.202326","10092.5493469","39063.2118571","304674.496756","283262.765984","38826.3275277","NA","305896.558466","61426.0160379","281605.439788","10095.021292","NA","281821.510056","280007.562167","303863.793804","288795.299231","298822.961603","39063.0616034","39063.1300926","mental arithmetic experiment","4","90.3313139597","9","yes","1440"
"N","50","10.0351557479","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","1","9","9","9","9","9","9","9","0","NA","9","9","9","19","19","0.00142726361157","03/22/17 08:57:41","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","9","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP17/subject-17_2.csv","10.0202435196","psycho","Jazzy James","3.1.4"," vp_monat_fake","97","7","54","4","48","8","54","4","9","5","4","5","1822.65355296","1169.41980947","1822.65355296","Y","17","39197.3265701","308732.157975","310461.229413","320499.12171","10092.5493469","39063.2118571","331294.840625","309961.49462","38826.3275277","NA","333119.975175","61426.0160379","307567.758088","10095.021292","NA","308687.994246","305901.321629","330517.104484","315490.849911","325515.265536","39063.0616034","39063.1300926","mental arithmetic experiment","5","100.351557479","10","yes","1440"
