"VPanswer","accuracy","average_response_time","background","bidi","block_nr","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct_answer","correct_selection","count_Question","count_calculateMathTask","count_calculateMathTask_1","count_feedback","count_fixation_dot","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_select_target","count_showMathTask","count_showMathTask_2","currentSlope","datetime","description","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","foreground","height","itemIds","keyboard_backend","left_2nd_target","live_row","logfile","loop_rt","mouse_backend","opensesame_codename","opensesame_version","questionAbout","randomNumb1","randomNumb1x","randomNumb2","randomNumb2x","randomNumb3","randomNumb3x","randomNumb4","randomNumb4x","randomNumbx1","randomNumbx2","randomNumbx3","randomNumbx4","response_time","response_time_Question","response_time_feedback","right_1st_target","subject_nr","time_Form_blockNum","time_Question","time_calculateMathTask","time_calculateMathTask_1","time_experiment","time_eye_tracker__collect_Pupil_Trace","time_feedback","time_fixation_dot","time_globals","time_kill_blicks","time_logger","time_new_loop","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_select_target","time_showMathTask","time_showMathTask_2","time_vp_fragen","time_vp_fragen2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Y","100","10.0310406367","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","Y","1","0","0","0","0","0","0","0","0","NA","0","0","0","1","1","-0.225860593379","03/21/17 13:56:25","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","0","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP16/subject-16_3.csv","10.0310406367","psycho","Jazzy James","3.1.4"," TU_Chemnitz","27","7","85","5","57","7","98","8","2","8","5","9","1661.40331557","4642.26782506","1661.40331557","Y","16","118520.455049","149758.997877","154917.182929","164934.490619","4924.81998814","118520.292122","175491.292601","154417.291698","118372.07278","NA","177153.345814","146423.72551","147881.90136","4926.3243487","NA","149360.902616","NA","174963.833494","159934.350019","169963.710696","118520.134023","118520.207943","mental arithmetic experiment","1","10.0310406367","1","yes","1440"
"Y","50","10.0289681432","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","N","0","1","1","1","1","1","1","1","0","NA","1","1","1","3","3","-0.00353990542908","03/21/17 13:56:25","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","1","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP16/subject-16_3.csv","10.0268956497","psycho","Jazzy James","3.1.4"," vp_alter_fake","54","4","86","6","27","7","24","4","5","8","2","2","2185.45151183","1685.12942901","2185.45151183","Y","16","118520.455049","182435.396222","184642.176405","194658.463386","4924.81998814","118520.292122","205182.559253","184142.144272","118372.07278","NA","207368.674844","146423.72551","179120.469834","4926.3243487","NA","182048.989475","177157.098569","204683.830839","189658.101627","199683.600931","118520.134023","118520.207943","mental arithmetic experiment","1","20.0579362864","2","yes","1440"
"Y","33.3333333333","10.0289583877","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","N","0","2","2","2","2","2","2","2","0","NA","2","2","2","5","5","0.13103645124","03/21/17 13:56:25","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","2","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP16/subject-16_3.csv","10.0289388767","psycho","Jazzy James","3.1.4"," vp_name_fake","68","8","72","2","85","5","46","6","6","7","8","4","2767.68310068","818.820498047","2767.68310068","N","16","118520.455049","211373.045214","212707.070283","222723.463469","4924.81998814","118520.292122","233247.6408","212207.192931","118372.07278","NA","236016.013324","146423.72551","209138.082559","4926.3243487","NA","210985.410478","207371.342323","232750.784238","217723.378385","227750.681352","118520.134023","118520.207943","mental arithmetic experiment","1","30.0868751631","3","yes","1440"
"N","25","10.0292052173","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","Y","0","3","3","3","3","3","3","3","0","NA","3","3","3","7","7","0.229862354054","03/21/17 13:56:25","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","3","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP16/subject-16_3.csv","10.029945706","psycho","Jazzy James","3.1.4"," vp_alter","95","5","87","7","39","9","86","6","9","8","3","8","2409.800369","2580.94174902","2409.800369","Y","16","118520.455049","243882.12101","246975.223308","256991.578779","4924.81998814","118520.292122","267532.708679","246475.454876","118372.07278","NA","269943.228944","146423.72551","237842.372823","4926.3243487","NA","243484.483151","236018.888384","267019.912713","251991.243873","262019.719313","118520.134023","118520.207943","mental arithmetic experiment","1","40.1168208692","4","yes","1440"
"N","20","10.0291458545","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","Y","0","4","4","4","4","4","4","4","0","NA","4","4","4","9","9","0.0324887086428","03/21/17 13:56:25","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","4","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP16/subject-16_3.csv","10.0289084033","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe","85","5","91","1","39","9","32","2","8","9","3","3","2578.19612505","2257.05859192","2578.19612505","Y","16","118520.455049","274509.253507","277287.209767","287304.566636","4924.81998814","118520.292122","297827.59503","276787.165566","118372.07278","NA","300406.565662","146423.72551","271726.158404","4926.3243487","NA","274124.662794","269945.806512","297331.889517","282304.384399","292331.755555","118520.134023","118520.207943","mental arithmetic experiment","1","50.1457292724","5","yes","1440"
"Y","33.3333333333","10.0291158337","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","Y","1","5","5","5","5","5","5","5","0","NA","5","5","5","11","11","0.0319511838484","03/21/17 13:56:25","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","5","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP16/subject-16_3.csv","10.0289657295","psycho","Jazzy James","3.1.4"," vp_name","86","6","63","3","92","2","79","9","8","6","9","7","1947.99124417","1983.98275386","1947.99124417","N","16","118520.455049","304181.64656","306676.185333","316695.522973","4924.81998814","118520.292122","327217.0986","306176.656464","118372.07278","NA","329165.864351","146423.72551","302187.643184","4926.3243487","NA","303804.158263","300409.179737","326722.889302","311695.156387","321722.71159","118520.134023","118520.207943","mental arithmetic experiment","2","60.1746950019","6","yes","1440"
"Y","28.5714285714","10.0288107332","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","N","0","6","6","6","6","6","6","6","0","NA","6","6","6","13","13","0.154936148195","03/21/17 13:56:25","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","6","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP16/subject-16_3.csv","10.0269801304","psycho","Jazzy James","3.1.4"," Sonntag","25","5","59","9","54","4","67","7","2","5","5","6","1626.50402113","1085.80587835","1626.50402113","N","16","118520.455049","333655.171956","335261.15108","345277.507154","4924.81998814","118520.292122","355801.932799","334761.525662","118372.07278","NA","357429.275593","146423.72551","330942.626717","4926.3243487","NA","333272.094655","329168.471185","355302.853789","340277.394312","350302.93827","118520.134023","118520.207943","mental arithmetic experiment","2","70.2016751323","7","yes","1440"
"Y","25","10.0286978803","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","N","0","7","7","7","7","7","7","7","0","NA","7","7","7","15","15","-0.0953636190966","03/21/17 13:56:25","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","7","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP16/subject-16_3.csv","10.02790791","psycho","Jazzy James","3.1.4"," TU_Dresden","62","2","89","9","42","2","83","3","6","8","4","8","1833.26911791","2912.17774747","1833.26911791","Y","16","118520.455049","361804.078911","365237.144068","375253.491996","4924.81998814","118520.292122","385778.284528","364737.863512","118372.07278","NA","387612.517933","146423.72551","359459.395993","4926.3243487","NA","361421.877192","357431.984709","385279.806237","370253.787981","380279.675292","118520.134023","118520.207943","mental arithmetic experiment","2","80.2295830423","8","yes","1440"
"N","33.3333333333","10.0289389102","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","N","1","8","8","8","8","8","8","8","0","NA","8","8","8","17","17","-0.0495002165495","03/21/17 13:56:25","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","8","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP16/subject-16_3.csv","10.0308671495","psycho","Jazzy James","3.1.4"," vp_haarfarbe_fake","27","7","27","7","97","7","85","5","2","2","9","8","2259.82865496","1908.37611428","2259.82865496","N","16","118520.455049","390959.204554","393386.098091","403403.406686","4924.81998814","118520.292122","413927.197216","392886.805467","118372.07278","NA","416187.917142","146423.72551","389444.850522","4926.3243487","NA","390579.266617","387615.251187","413432.746544","398403.067254","408432.824689","118520.134023","118520.207943","mental arithmetic experiment","3","90.2604501918","9","yes","1440"
"Y","40","10.0286365563","#4c4c4c","no","3","psycho","psycho","psycho","0","uniform","Y","1","9","9","9","9","9","9","9","0","NA","9","9","9","19","19","0.191306422718","03/21/17 13:56:25","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","9","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP16/subject-16_3.csv","10.0259153714","psycho","Jazzy James","3.1.4"," vp_monat","32","2","31","1","89","9","93","3","3","3","8","9","1462.28432897","3461.60033672","1462.28432897","N","16","118520.455049","422279.761885","426266.220528","436281.489516","4924.81998814","118520.292122","446803.978138","425766.181757","118372.07278","NA","448267.140161","146423.72551","418005.163885","4926.3243487","NA","421899.366244","416190.659448","446305.81152","431281.366114","441305.724626","118520.134023","118520.207943","mental arithmetic experiment","4","100.286365563","10","yes","1440"
