"VPanswer","accuracy","average_response_time","background","bidi","block_nr","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct_answer","correct_selection","count_Question","count_calculateMathTask","count_calculateMathTask_1","count_feedback","count_fixation_dot","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_select_target","count_showMathTask","count_showMathTask_2","currentSlope","datetime","description","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","foreground","height","itemIds","keyboard_backend","left_2nd_target","live_row","logfile","loop_rt","mouse_backend","opensesame_codename","opensesame_version","questionAbout","randomNumb1","randomNumb1x","randomNumb2","randomNumb2x","randomNumb3","randomNumb3x","randomNumb4","randomNumb4x","randomNumbx1","randomNumbx2","randomNumbx3","randomNumbx4","response_time","response_time_Question","response_time_feedback","right_1st_target","subject_nr","time_Form_blockNum","time_Question","time_calculateMathTask","time_calculateMathTask_1","time_experiment","time_eye_tracker__collect_Pupil_Trace","time_feedback","time_fixation_dot","time_globals","time_kill_blicks","time_logger","time_new_loop","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_select_target","time_showMathTask","time_showMathTask_2","time_vp_fragen","time_vp_fragen2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"N","0","10.0279871771","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","0","0","0","0","0","0","0","0","0","NA","0","0","0","1","1","-0.449686132839","03/28/17 11:44:04","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","0","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP20/subject-20_5.csv","10.0279871771","psycho","Jazzy James","3.1.4"," vp_monat","87","7","97","7","34","4","46","6","8","9","3","4","1951.59509711","5173.83820479","1951.59509711","N","20","129971.540034","157673.769866","163403.681237","173416.92476","5039.1594192","129971.363832","184031.18597","162903.652121","129826.751952","NA","185983.784575","154942.402715","156202.189553","5043.23861965","NA","157289.90594","NA","183443.181897","168416.712653","178443.200302","129971.06634","129971.136941","mental arithmetic experiment","0","10.0279871771","1","yes","1440"
"Y","50","10.0295503677","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","1","1","1","1","1","1","1","1","0","NA","1","1","1","3","3","-0.132273296927","03/28/17 11:44:04","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","1","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP20/subject-20_5.csv","10.0311135584","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe","39","9","41","1","48","8","47","7","3","4","4","4","1193.98951537","2685.49907599","1193.98951537","Y","20","129971.540034","189105.349877","192339.436244","202352.750971","5039.1594192","129971.363832","212932.221912","191839.397473","129826.751952","NA","214126.896021","154942.402715","187747.373487","5043.23861965","NA","188719.565529","185987.632359","212382.046992","197352.761531","207382.427758","129971.06634","129971.136941","mental arithmetic experiment","1","20.0591007354","2","yes","1440"
"N","33.3333333333","10.028323691","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","0","2","2","2","2","2","2","2","0","NA","2","2","2","5","5","-0.145893311657","03/28/17 11:44:04","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","2","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP20/subject-20_5.csv","10.0258703375","psycho","Jazzy James","3.1.4"," vp_haarfarbe","35","5","78","8","65","5","93","3","3","7","6","9","1078.59611541","1719.6946634","1078.59611541","N","20","129971.540034","217422.209315","219672.270941","229700.563756","5039.1594192","129971.363832","240254.894814","219172.152819","129826.751952","NA","241334.234056","154942.402715","215952.599811","5043.23861965","NA","217040.41848","214129.63349","239724.89323","224700.409881","234724.69983","129971.06634","129971.136941","mental arithmetic experiment","1","30.084971073","3","yes","1440"
"Y","25","10.0264873468","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","0","3","3","3","3","3","3","3","0","NA","3","3","3","7","7","1.56020772025","03/28/17 11:44:04","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","3","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP20/subject-20_5.csv","10.0209783142","psycho","Jazzy James","3.1.4"," vp_haarfarbe_fake","94","4","83","3","46","6","92","2","9","8","4","9","3273.88934565","4089.8658118","3273.88934565","N","20","129971.540034","245051.457967","249657.186951","259681.48052","5039.1594192","129971.363832","270250.777899","249157.191929","129826.751952","NA","273525.40313","154942.402715","243155.435942","5043.23861965","NA","244657.756289","241336.998077","269700.848878","254681.18514","264700.892929","129971.06634","129971.136941","mental arithmetic experiment","1","40.1059493871","4","yes","1440"
"N","40","10.0256131548","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","1","4","4","4","4","4","4","4","0","NA","4","4","4","9","9","-0.925382336285","03/28/17 11:44:04","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","4","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP20/subject-20_5.csv","10.022116387","psycho","Jazzy James","3.1.4"," Sonntag","53","3","97","7","57","7","68","8","5","9","5","6","1183.92728644","3349.85238544","1183.92728644","N","20","129971.540034","277750.574995","281630.184273","291649.44522","5039.1594192","129971.363832","302219.910541","281130.47558","129826.751952","NA","303404.610221","154942.402715","275303.399887","5043.23861965","NA","277379.485423","273527.969828","301669.924496","286649.320913","296670.082896","129971.06634","129971.136941","mental arithmetic experiment","2","50.1280657741","5","yes","1440"
"Y","50","10.0266594255","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","1","5","5","5","5","5","5","5","0","NA","5","5","5","11","11","0.390971602187","03/28/17 11:44:04","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","5","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP20/subject-20_5.csv","10.0318907788","psycho","Jazzy James","3.1.4"," tag","28","8","95","5","29","9","72","2","2","9","2","7","1925.91695267","2025.62685272","1925.91695267","N","20","129971.540034","306913.878484","309479.968923","319509.344899","5039.1594192","129971.363832","330109.143051","308979.74852","129826.751952","NA","332035.929851","154942.402715","305214.766585","5043.23861965","NA","306531.870111","303407.437903","329539.657401","314509.579031","324539.317971","129971.06634","129971.136941","mental arithmetic experiment","3","60.1599565529","6","yes","1440"
"Y","42.8571428571","10.0273737453","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","0","6","6","6","6","6","6","6","0","NA","6","6","6","13","13","-1.9578925122","03/28/17 11:44:04","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","6","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP20/subject-20_5.csv","10.0316596643","psycho","Jazzy James","3.1.4"," vp_alter_fake","25","5","69","9","35","5","51","1","2","6","3","5","1926.0853102","5959.22941731","1926.0853102","Y","20","129971.540034","336523.583783","343023.979483","353038.491722","5039.1594192","129971.363832","363580.006789","342523.964247","129826.751952","NA","365506.947162","154942.402715","333851.990194","5043.23861965","NA","336067.082029","332038.525816","363068.57311","348038.683613","358068.442768","129971.06634","129971.136941","mental arithmetic experiment","3","70.1916162172","7","yes","1440"
"N","37.5","10.02659868","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","0","7","7","7","7","7","7","7","0","NA","7","7","7","15","15","0.192132885664","03/28/17 11:44:04","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","7","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP20/subject-20_5.csv","10.0211732227","psycho","Jazzy James","3.1.4"," vp_alter","69","9","87","7","81","1","53","3","6","8","8","5","1645.949538","911.291269093","1645.949538","Y","20","129971.540034","368866.752857","370317.799283","380338.119555","5039.1594192","129971.363832","390907.504733","369818.093004","129826.751952","NA","392554.331963","154942.402715","367328.486064","5043.23861965","NA","368485.051631","365509.589289","390357.632133","375337.972318","385357.965227","129971.06634","129971.136941","mental arithmetic experiment","3","80.2127894399","8","yes","1440"
"Y","33.3333333333","10.0269899386","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","0","8","8","8","8","8","8","8","0","NA","8","8","8","17","17","0.160218908138","03/28/17 11:44:04","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","8","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP20/subject-20_5.csv","10.0301200075","psycho","Jazzy James","3.1.4"," vp_name_fake","38","8","78","8","49","9","92","2","3","7","4","9","1131.97782387","1112.59649255","1131.97782387","N","20","129971.540034","395976.587139","397627.631454","407642.941128","5039.1594192","129971.363832","418236.771639","397127.406826","129826.751952","NA","419369.689911","154942.402715","394314.439374","5043.23861965","NA","395586.439374","392557.049821","417671.336526","402643.122761","412671.184462","129971.06634","129971.136941","mental arithmetic experiment","3","90.2429094475","9","yes","1440"
"N","30","10.0279887762","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","0","9","9","9","9","9","9","9","0","NA","9","9","9","19","19","-0.100124805239","03/28/17 11:44:04","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","9","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP20/subject-20_5.csv","10.0369783142","psycho","Jazzy James","3.1.4"," vp_name","56","6","28","8","89","9","85","5","5","2","8","8","2921.88783707","2003.9443334","2921.88783707","N","20","129971.540034","423116.649142","425676.569489","435690.84126","5039.1594192","129971.363832","446286.043673","425176.62938","129826.751952","NA","449208.850236","154942.402715","421129.96568","5043.23861965","NA","422746.143994","419372.310918","445726.124533","430691.17194","440726.169791","129971.06634","129971.136941","mental arithmetic experiment","3","100.279887762","10","yes","1440"
