"VPanswer","accuracy","average_response_time","background","bidi","block_nr","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct_answer","correct_selection","count_Question","count_calculateMathTask","count_calculateMathTask_1","count_feedback","count_fixation_dot","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_select_target","count_showMathTask","count_showMathTask_2","currentSlope","datetime","description","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","foreground","height","itemIds","keyboard_backend","left_2nd_target","live_row","logfile","loop_rt","mouse_backend","opensesame_codename","opensesame_version","questionAbout","randomNumb1","randomNumb1x","randomNumb2","randomNumb2x","randomNumb3","randomNumb3x","randomNumb4","randomNumb4x","randomNumbx1","randomNumbx2","randomNumbx3","randomNumbx4","response_time","response_time_Question","response_time_feedback","right_1st_target","subject_nr","time_Form_blockNum","time_Question","time_calculateMathTask","time_calculateMathTask_1","time_experiment","time_eye_tracker__collect_Pupil_Trace","time_feedback","time_fixation_dot","time_globals","time_kill_blicks","time_logger","time_new_loop","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_select_target","time_showMathTask","time_showMathTask_2","time_vp_fragen","time_vp_fragen2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Y","0","10.027287827","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","0","0","0","0","0","0","0","0","0","NA","0","0","0","1","1","-0.000961157383377","03/28/17 16:41:23","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","0","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_5.csv","10.027287827","psycho","Jazzy James","3.1.4"," Sonntag","41","1","46","6","69","9","39","9","4","4","6","3","3673.49106231","4145.98705321","3673.49106231","Y","23","161130.858528","204879.070462","209536.65758","219553.080784","5129.53337547","161121.277722","230111.046711","209036.781134","160970.247425","NA","233785.472802","203947.052727","204850.790883","5134.22179713","NA","204851.104973","NA","229578.615016","214552.726867","224578.615921","161121.121432","161121.195655","mental arithmetic experiment","0","10.027287827","1","yes","1440"
"N","50","10.0272777194","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","1","1","1","1","1","1","1","1","0","NA","1","1","1","3","3","-0.000160064953743","03/28/17 16:41:23","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","1","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_5.csv","10.0272676118","psycho","Jazzy James","3.1.4"," vp_alter_fake","53","3","37","7","97","7","35","5","5","3","9","3","2169.15007083","2183.29257604","2169.15007083","N","23","161130.858528","235241.192275","237936.944515","247953.291686","5129.53337547","161121.277722","258495.004277","237437.520347","160970.247425","NA","260665.192565","203947.052727","235211.321728","5134.22179713","NA","235211.650301","233789.77985","257978.91402","242953.343582","252979.100483","161121.121432","161121.195655","mental arithmetic experiment","1","20.0545554387","2","yes","1440"
"Y","33.3333333333","10.0272200406","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","0","2","2","2","2","2","2","2","0","NA","2","2","2","5","5","-0.000251909867692","03/28/17 16:41:23","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","2","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_5.csv","10.0271046831","psycho","Jazzy James","3.1.4"," vp_haarfarbe_fake","65","5","97","7","24","4","24","4","6","9","2","2","2460.52797922","1523.89725239","2460.52797922","Y","23","161130.858528","261764.188291","263805.97767","273822.458804","5129.53337547","161121.277722","284347.220483","263306.581562","160970.247425","NA","286808.645777","203947.052727","261734.177143","5134.22179713","NA","261734.507827","260667.90955","283847.877176","268822.425011","278848.177387","161121.121432","161121.195655","mental arithmetic experiment","1","30.0816601219","3","yes","1440"
"Y","25","10.0274165104","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","0","3","3","3","3","3","3","3","0","NA","3","3","3","7","7","0.000693544814801","03/28/17 16:41:23","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","3","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_5.csv","10.0280059197","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe_fake","56","6","53","3","57","7","98","8","5","5","5","9","1704.51900607","5124.38905542","1704.51900607","N","23","161130.858528","287851.283289","293498.293323","303513.636974","5129.53337547","161121.277722","314038.813819","292998.186061","160970.247425","NA","315744.38462","203947.052727","287821.04223","5134.22179713","NA","287821.367484","286811.561294","313540.051624","298513.996925","308539.724862","161121.121432","161121.195655","mental arithmetic experiment","1","40.1096660416","4","yes","1440"
"N","40","10.0273726102","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","1","4","4","4","4","4","4","4","0","NA","4","4","4","9","9","0.000271305106762","03/28/17 16:41:23","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","4","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_5.csv","10.0271970094","psycho","Jazzy James","3.1.4"," vp_monat_fake","75","5","27","7","95","5","67","7","7","2","9","6","1981.12743582","3050.05046261","1981.12743582","Y","23","161130.858528","316805.20044","320373.39768","330388.742236","5129.53337547","161121.277722","340913.806239","319873.168826","160970.247425","NA","342895.841247","203947.052727","316780.095555","5134.22179713","NA","316780.451886","315747.180958","340414.223064","325389.135377","335414.751375","161121.121432","161121.195655","mental arithmetic experiment","2","50.136863051","5","yes","1440"
"Y","50","10.0273000969","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","1","5","5","5","5","5","5","5","0","NA","5","5","5","11","11","-0.00079291367189","03/28/17 16:41:23","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","5","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_5.csv","10.0269375305","psycho","Jazzy James","3.1.4"," vp_name","36","6","86","6","28","8","97","7","3","8","2","9","1743.25528349","3557.03300964","1743.25528349","Y","23","161130.858528","343897.980741","347968.643484","357984.945396","5129.53337547","161121.277722","368543.250758","347469.088067","160970.247425","NA","370287.566586","203947.052727","343877.212472","5134.22179713","NA","343877.649061","342899.187016","368010.361656","352984.855182","363010.674238","161121.121432","161121.195655","mental arithmetic experiment","3","60.1638005814","6","yes","1440"
"N","57.1428571429","10.0272556292","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","1","6","6","6","6","6","6","6","0","NA","6","6","6","13","13","-0.00207148034262","03/28/17 16:41:23","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","6","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_5.csv","10.0269888228","psycho","Jazzy James","3.1.4"," TU_Dresden","45","5","28","8","35","5","73","3","4","2","3","7","1784.35372405","1544.47573948","1784.35372405","N","23","161130.858528","371493.981447","373552.599843","383568.984728","5129.53337547","161121.277722","394093.782011","373053.147011","160970.247425","NA","395879.107272","203947.052727","371462.950788","5134.22179713","NA","371463.271516","370290.272106","393594.422712","378569.020935","388594.723225","161121.121432","161121.195655","mental arithmetic experiment","4","70.1907894042","7","yes","1440"
"Y","62.5","10.0272326123","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","1","7","7","7","7","7","7","7","0","NA","7","7","7","15","15","-0.000290842725985","03/28/17 16:41:23","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","7","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_5.csv","10.027071494","psycho","Jazzy James","3.1.4"," vp_haarfarbe","82","2","29","9","52","2","82","2","8","2","5","8","2289.70547636","2149.42484692","2289.70547636","Y","23","161130.858528","396960.724248","399622.695956","409639.0911","5129.53337547","161121.277722","420164.050707","399123.39157","160970.247425","NA","422454.789875","203947.052727","396926.845355","5134.22179713","NA","396927.161557","395881.764215","419664.53904","404639.365363","414664.992827","161121.121432","161121.195655","mental arithmetic experiment","5","80.2178608982","8","yes","1440"
"N","66.6666666667","10.027244547","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","1","8","8","8","8","8","8","8","0","NA","8","8","8","17","17","0.000404082197149","03/28/17 16:41:23","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","8","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_5.csv","10.0273400245","psycho","Jazzy James","3.1.4"," vp_name_fake","63","3","46","6","65","5","35","5","6","4","6","3","1973.65927102","7930.71792682","1973.65927102","Y","23","161130.858528","423466.906031","431913.238101","441929.521005","5129.53337547","161121.277722","452487.789557","431413.718891","160970.247425","NA","454462.402262","203947.052727","423446.817537","5134.22179713","NA","423447.140075","422457.472163","451954.902567","436929.505316","446955.240795","161121.121432","161121.195655","mental arithmetic experiment","6","90.2452009227","9","yes","1440"
"N","60","10.0272155048","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","0","9","9","9","9","9","9","9","0","NA","9","9","9","19","19","-0.00115313146335","03/28/17 16:41:23","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","9","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP23/subject-23_5.csv","10.026954125","psycho","Jazzy James","3.1.4"," vp_alter","83","3","95","5","49","9","71","1","8","9","4","7","2747.17884583","2185.33974387","2747.17884583","N","23","161130.858528","455555.826131","458268.411009","468284.611543","5129.53337547","161121.277722","478809.753993","457768.959686","160970.247425","NA","481557.965022","203947.052727","455517.706569","5134.22179713","NA","455518.100313","454465.231789","478310.006985","463284.772662","473310.536503","161121.121432","161121.195655","mental arithmetic experiment","6","100.272155048","10","yes","1440"
