"VPanswer","accuracy","average_response_time","background","bidi","block_nr","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct_answer","correct_selection","count_Question","count_calculateMathTask","count_calculateMathTask_1","count_feedback","count_fixation_dot","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_select_target","count_showMathTask","count_showMathTask_2","currentSlope","datetime","description","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","foreground","height","itemIds","keyboard_backend","left_2nd_target","live_row","logfile","loop_rt","mouse_backend","opensesame_codename","opensesame_version","questionAbout","randomNumb1","randomNumb1x","randomNumb2","randomNumb2x","randomNumb3","randomNumb3x","randomNumb4","randomNumb4x","randomNumbx1","randomNumbx2","randomNumbx3","randomNumbx4","response_time","response_time_Question","response_time_feedback","right_1st_target","subject_nr","time_Form_blockNum","time_Question","time_calculateMathTask","time_calculateMathTask_1","time_experiment","time_eye_tracker__collect_Pupil_Trace","time_feedback","time_fixation_dot","time_globals","time_kill_blicks","time_logger","time_new_loop","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_select_target","time_showMathTask","time_showMathTask_2","time_vp_fragen","time_vp_fragen2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Y","100","10.025045446","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","1","0","0","0","0","0","0","0","0","NA","0","0","0","1","1","-0.0215476126901","03/15/17 10:18:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","0","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP09/subject-9_6.csv","10.025045446","psycho","Jazzy James","3.1.4"," vp_haarfarbe","96","6","97","7","67","7","85","5","9","9","6","8","1080.09021309","1044.91947954","1080.09021309","Y","9","45796.8096549","79037.5207995","80603.5919291","90622.8682632","5697.3381105","45796.6539695","101178.099943","80104.2244767","45669.6321328","NA","102258.955912","76420.5338865","77577.7104281","5699.34874599","NA","78642.9293607","NA","100646.167075","85622.879125","95646.0587592","45796.5028097","45796.5731096","mental arithmetic experiment","1","10.025045446","1","yes","1440"
"N","50","10.0260190835","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","0","1","1","1","1","1","1","1","0","NA","1","1","1","3","3","-0.0182980942629","03/15/17 10:18:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","1","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP09/subject-9_6.csv","10.0269927211","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe","98","8","89","9","63","3","52","2","9","8","6","5","1118.28474448","2673.04725627","1118.28474448","N","9","45796.8096549","105474.302395","108669.413087","118684.691684","5697.3381105","45796.6539695","129243.147501","108169.242467","45669.6321328","NA","130362.255327","76420.5338865","104133.714501","5699.34874599","NA","105083.081426","102262.984424","128710.033415","113685.32046","123710.526419","45796.5028097","45796.5731096","mental arithmetic experiment","1","20.0520381671","2","yes","1440"
"Y","33.3333333333","10.0263158715","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","0","2","2","2","2","2","2","2","0","NA","2","2","2","5","5","-0.0277839627063","03/15/17 10:18:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","2","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP09/subject-9_6.csv","10.0269094475","psycho","Jazzy James","3.1.4"," vp_monat_fake","86","6","79","9","38","8","76","6","8","7","3","7","1063.82983217","1278.12604186","1063.82983217","Y","9","45796.8096549","133603.230775","135410.193777","145426.552517","5697.3381105","45796.6539695","155984.899114","134910.226815","45669.6321328","NA","157049.564699","76420.5338865","132156.860343","5699.34874599","NA","133221.244428","130365.465887","155451.833","140426.37179","150451.733132","45796.5028097","45796.5731096","mental arithmetic experiment","1","30.0789476146","3","yes","1440"
"Y","25","10.0267214784","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","0","3","3","3","3","3","3","3","0","NA","3","3","3","7","7","0.0661749377101","03/15/17 10:18:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","3","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP09/subject-9_6.csv","10.0279382991","psycho","Jazzy James","3.1.4"," TU_Dresden","93","3","36","6","24","4","36","6","9","3","2","3","821.353950594","1443.98717707","821.353950594","N","9","45796.8096549","160444.619876","162420.02821","172435.333962","5697.3381105","45796.6539695","182994.696134","161920.085386","45669.6321328","NA","183816.879502","76420.5338865","159041.038205","5699.34874599","NA","160059.515293","157063.406223","182461.637262","167435.209353","177461.524118","45796.5028097","45796.5731096","mental arithmetic experiment","1","40.1068859136","4","yes","1440"
"N","20","10.0267517104","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","0","4","4","4","4","4","4","4","0","NA","4","4","4","9","9","0.129478781538","03/15/17 10:18:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","4","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP09/subject-9_6.csv","10.0268726381","psycho","Jazzy James","3.1.4"," tag","24","4","75","5","36","6","65","5","2","7","3","6","1229.45804262","752.144220252","1229.45804262","Y","9","45796.8096549","186967.894399","188236.882368","198256.129738","5697.3381105","45796.6539695","208794.00973","187736.972431","45669.6321328","NA","210024.219951","76420.5338865","185538.857251","5699.34874599","NA","186580.626212","183819.673694","208281.447633","193255.996078","203281.330869","45796.5028097","45796.5731096","mental arithmetic experiment","1","50.1337585518","5","yes","1440"
"N","33.3333333333","10.0267724684","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","1","5","5","5","5","5","5","5","0","NA","5","5","5","11","11","-0.0662845922314","03/15/17 10:18:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","5","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP09/subject-9_6.csv","10.0268762587","psycho","Jazzy James","3.1.4"," vp_alter_fake","42","2","86","6","59","9","29","9","4","8","5","2","866.699754855","814.26694324","866.699754855","N","9","45796.8096549","214113.040317","215446.68663","225465.918612","5697.3381105","45796.6539695","236004.008297","214946.847294","45669.6321328","NA","236871.481954","76420.5338865","211834.824665","5699.34874599","NA","213728.547313","210027.018065","235491.246464","220465.806675","230491.101942","45796.5028097","45796.5731096","mental arithmetic experiment","2","60.1606348105","6","yes","1440"
"Y","42.8571428571","10.0263742464","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","1","6","6","6","6","6","6","6","0","NA","6","6","6","13","13","0.00922289732643","03/15/17 10:18:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","6","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP09/subject-9_6.csv","10.0239849142","psycho","Jazzy James","3.1.4"," vp_alter","86","6","68","8","57","7","41","1","8","6","5","4","842.658419762","4474.08123704","842.658419762","N","9","45796.8096549","239860.453027","244852.485008","254872.821874","5697.3381105","45796.6539695","265427.154441","244353.068376","45669.6321328","NA","266270.852272","76420.5338865","238693.417009","5699.34874599","NA","239482.388987","236874.195286","264895.143127","249872.693343","259895.003432","45796.5028097","45796.5731096","mental arithmetic experiment","3","70.1846197247","7","yes","1440"
"N","50","10.026067245","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","1","7","7","7","7","7","7","7","0","NA","7","7","7","15","15","-0.0370556289203","03/15/17 10:18:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","7","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP09/subject-9_6.csv","10.023918235","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe_fake","46","6","24","4","69","9","64","4","4","2","6","6","939.144484253","4495.13166132","939.144484253","N","9","45796.8096549","269470.438921","274494.56172","284512.752781","5697.3381105","45796.6539695","295074.024816","273994.562474","45669.6321328","NA","296014.080181","76420.5338865","268060.769527","5699.34874599","NA","269079.487686","266273.580992","294535.007053","279512.570243","289535.330492","45796.5028097","45796.5731096","mental arithmetic experiment","4","80.2085379596","8","yes","1440"
"N","44.4444444444","10.0260457016","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","0","8","8","8","8","8","8","8","0","NA","8","8","8","17","17","-0.023640742148","03/15/17 10:18:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","8","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP09/subject-9_6.csv","10.0258733547","psycho","Jazzy James","3.1.4"," TU_Chemnitz","68","8","97","7","26","6","72","2","6","9","2","7","726.686328493","754.854535169","726.686328493","N","9","45796.8096549","299394.180502","300664.207279","310681.503451","5697.3381105","45796.6539695","321221.608901","300164.471733","45669.6321328","NA","321949.268263","76420.5338865","298007.483462","5699.34874599","NA","299002.720573","296016.845107","320705.810598","305681.359231","315705.901414","45796.5028097","45796.5731096","mental arithmetic experiment","4","90.2344113144","9","yes","1440"
"N","50","10.0258349463","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","1","9","9","9","9","9","9","9","0","NA","9","9","9","19","19","0.0980113541644","03/15/17 10:18:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","9","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP09/subject-9_6.csv","10.0239381482","psycho","Jazzy James","3.1.4"," vp_name_fake","76","6","95","5","23","3","68","8","7","9","2","6","796.847067699","852.587591929","796.847067699","Y","9","45796.8096549","325263.597813","326634.00611","336653.289082","5697.3381105","45796.6539695","347190.913521","326133.805921","45669.6321328","NA","347988.704658","76420.5338865","323720.863813","5699.34874599","NA","324877.232359","321951.976768","346675.583481","331653.082708","341675.446502","45796.5028097","45796.5731096","mental arithmetic experiment","5","100.258349463","10","yes","1440"
"Y","54.5454545455","10.025572489","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","1","10","10","10","10","10","10","10","0","NA","10","10","10","21","21","-0.0203814108063","03/15/17 10:18:56","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","10","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP09/subject-9_6.csv","10.0229479163","psycho","Jazzy James","3.1.4"," vp_name","63","3","79","9","26","6","46","6","6","7","2","4","728.855063171","754.661135206","728.855063171","Y","9","45796.8096549","351200.973939","352468.78763","362490.085763","5697.3381105","45796.6539695","373026.195587","351969.011654","45669.6321328","NA","373755.978729","76420.5338865","349807.293079","5699.34874599","NA","350825.673317","347991.335923","372511.392947","357489.906543","367511.211013","45796.5028097","45796.5731096","mental arithmetic experiment","6","110.281297379","11","yes","1440"
