"VPanswer","accuracy","average_response_time","background","bidi","block_nr","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct_answer","correct_selection","count_Question","count_calculateMathTask","count_calculateMathTask_1","count_feedback","count_fixation_dot","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_select_target","count_showMathTask","count_showMathTask_2","currentSlope","datetime","description","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","foreground","height","itemIds","keyboard_backend","left_2nd_target","live_row","logfile","loop_rt","mouse_backend","opensesame_codename","opensesame_version","questionAbout","randomNumb1","randomNumb1x","randomNumb2","randomNumb2x","randomNumb3","randomNumb3x","randomNumb4","randomNumb4x","randomNumbx1","randomNumbx2","randomNumbx3","randomNumbx4","response_time","response_time_Question","response_time_feedback","right_1st_target","subject_nr","time_Form_blockNum","time_Question","time_calculateMathTask","time_calculateMathTask_1","time_experiment","time_eye_tracker__collect_Pupil_Trace","time_feedback","time_fixation_dot","time_globals","time_kill_blicks","time_logger","time_new_loop","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_select_target","time_showMathTask","time_showMathTask_2","time_vp_fragen","time_vp_fragen2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"N","100","10.0444597985","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","1","0","0","0","0","0","0","0","0","NA","0","0","0","1","1","0.000482092813929","03/24/17 14:44:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","0","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP21/subject-21_2.csv","10.0444597985","psycho","Jazzy James","3.1.4"," vp_name_fake","83","3","78","8","78","8","63","3","8","7","7","6","4020.10581212","6838.42727038","4020.10581212","Y","21","114295.096647","140445.08224","147817.650742","157841.223885","8295.01850279","114285.64627","168850.678788","147316.962978","114040.880229","NA","172871.539495","138509.421262","140145.260706","8296.91871595","NA","140402.359728","NA","167883.133873","152840.401102","162875.023421","114285.501446","114285.568729","mental arithmetic experiment","1","10.0444597985","1","yes","1440"
"Y","100","10.0539156068","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","1","1","1","1","1","1","1","1","0","NA","1","1","1","3","3","-0.0108550125244","03/24/17 14:44:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","1","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP21/subject-21_2.csv","10.063371415","psycho","Jazzy James","3.1.4"," tag","78","8","79","9","45","5","26","6","7","7","4","2","5332.3122227","2555.04749779","5332.3122227","Y","21","114295.096647","175961.180196","179036.681838","189074.944371","8295.01850279","114285.64627","200302.68694","178536.848235","114040.880229","NA","205636.509558","138509.421262","174643.284611","8296.91871595","NA","175924.225908","172885.780534","199135.806105","184071.618244","194092.044177","114285.501446","114285.568729","mental arithmetic experiment","2","20.1078312135","2","yes","1440"
"N","100","10.042389417","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","1","2","2","2","2","2","2","2","0","NA","2","2","2","5","5","-0.00476763669306","03/24/17 14:44:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","2","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP21/subject-21_2.csv","10.0193370374","psycho","Jazzy James","3.1.4"," TU_Dresden","42","2","62","2","59","9","94","4","4","6","5","9","2024.80656174","2953.97217868","2024.80656174","N","21","114295.096647","207824.84669","211307.829102","221350.189252","8295.01850279","114285.64627","232233.461915","210807.17513","114040.880229","NA","234259.445474","138509.421262","207600.410335","8296.91871595","NA","207797.862637","205639.936157","231365.492636","216339.830707","226365.364708","114285.501446","114285.568729","mental arithmetic experiment","3","30.1271682509","3","yes","1440"
"Y","75","10.0397879383","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","0","3","3","3","3","3","3","3","0","NA","3","3","3","7","7","0.0168223317775","03/24/17 14:44:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","3","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP21/subject-21_2.csv","10.0319835021","psycho","Jazzy James","3.1.4"," vp_alter_fake","76","6","92","2","47","7","64","4","7","9","4","6","4338.21863313","1980.45477791","4338.21863313","N","21","114295.096647","236181.765738","238688.069057","248705.170372","8295.01850279","114285.64627","259647.355376","238185.673575","114040.880229","NA","263988.639755","138509.421262","235904.372029","8296.91871595","NA","236148.314685","234263.381372","258734.824318","243704.073933","253730.101845","114285.501446","114285.568729","mental arithmetic experiment","3","40.1591517531","4","yes","1440"
"Y","60","10.0408795652","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","0","4","4","4","4","4","4","4","0","NA","4","4","4","9","9","-0.0212578295987","03/24/17 14:44:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","4","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP21/subject-21_2.csv","10.0452460728","psycho","Jazzy James","3.1.4"," vp_haarfarbe_fake","81","1","53","3","51","1","86","6","8","5","5","8","4452.26732723","3114.2092075","4452.26732723","Y","21","114295.096647","266183.244453","269820.536362","279850.860723","8295.01850279","114285.64627","290660.621567","269318.726815","114040.880229","NA","295113.84232","138509.421262","265740.671893","8296.91871595","NA","266147.070706","263994.746807","289893.176823","274850.92348","284893.36268","114285.501446","114285.568729","mental arithmetic experiment","3","50.2043978258","5","yes","1440"
"N","50","10.0389934925","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","0","5","5","5","5","5","5","5","0","NA","5","5","5","11","11","0.0222724892719","03/24/17 14:44:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","5","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP21/subject-21_2.csv","10.029563129","psycho","Jazzy James","3.1.4"," vp_monat","56","6","67","7","39","9","46","6","5","6","3","4","6374.14225651","2450.73671729","6374.14225651","Y","21","114295.096647","297349.981972","300314.450883","310331.050744","8295.01850279","114285.64627","321193.949972","299814.771759","114040.880229","NA","327569.734474","138509.421262","296953.201895","8296.91871595","NA","297311.508841","295117.394131","320358.28492","305330.364037","315358.307247","114285.501446","114285.568729","mental arithmetic experiment","3","60.2339609548","6","yes","1440"
"Y","57.1428571429","10.0376333239","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","1","6","6","6","6","6","6","6","0","NA","6","6","6","13","13","-0.0254850545298","03/24/17 14:44:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","6","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP21/subject-21_2.csv","10.0294723122","psycho","Jazzy James","3.1.4"," vp_name","54","4","21","1","97","7","78","8","5","2","9","7","1973.70748243","1900.18087929","1973.70748243","Y","21","114295.096647","329659.737838","332088.207847","342100.995213","8295.01850279","114285.64627","352994.281257","331585.013721","114040.880229","NA","354969.636718","138509.421262","329326.253445","8296.91871595","NA","329621.050488","327575.335849","352128.363653","337100.79427","347128.119263","114285.501446","114285.568729","mental arithmetic experiment","4","70.263433267","7","yes","1440"
"Y","50","10.0359428201","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","0","7","7","7","7","7","7","7","0","NA","7","7","7","15","15","0.0108457440896","03/24/17 14:44:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","7","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP21/subject-21_2.csv","10.0241092939","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe_fake","83","3","21","1","35","5","98","8","8","2","3","9","3358.95684392","1911.31483708","3358.95684392","N","21","114295.096647","357627.361199","360077.018675","370119.835926","8295.01850279","114285.64627","380975.716917","359566.460242","114040.880229","NA","384336.427641","138509.421262","356831.903547","8296.91871595","NA","357595.244338","354974.626512","380141.163089","365120.278545","375141.378816","114285.501446","114285.568729","mental arithmetic experiment","4","80.2875425609","8","yes","1440"
"N","55.5555555556","10.0345666012","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","1","8","8","8","8","8","8","8","0","NA","8","8","8","17","17","0.00109478734523","03/24/17 14:44:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","8","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP21/subject-21_2.csv","10.0235568503","psycho","Jazzy James","3.1.4"," Sonntag","41","1","61","1","31","1","57","7","4","6","3","5","2220.615412","2307.03256883","2220.615412","Y","21","114295.096647","386256.815408","389105.527001","399140.97874","8295.01850279","114285.64627","410065.626447","388604.713422","114040.880229","NA","412287.831304","138509.421262","386015.479888","8296.91871595","NA","386219.485784","384342.017853","409163.059892","394140.804649","404162.919292","114285.501446","114285.568729","mental arithmetic experiment","5","90.3110994112","9","yes","1440"
"Y","60","10.0340640213","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","1","9","9","9","9","9","9","9","0","NA","9","9","9","19","19","0.00731557575772","03/24/17 14:44:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","9","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP21/subject-21_2.csv","10.0295408019","psycho","Jazzy James","3.1.4"," TU_Chemnitz","96","6","49","9","35","5","52","2","9","4","3","5","1916.22316794","5258.5007988","1916.22316794","N","21","114295.096647","414611.349082","420388.445449","430403.828486","8295.01850279","114285.64627","441264.868836","419888.165003","114040.880229","NA","443182.584899","138509.421262","414383.140964","8296.91871595","NA","414567.438107","412290.956186","440431.212615","425403.988396","435430.767281","114285.501446","114285.568729","mental arithmetic experiment","6","100.340640213","10","yes","1440"
