"VPanswer","accuracy","average_response_time","background","bidi","block_nr","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct_answer","correct_selection","count_Question","count_calculateMathTask","count_calculateMathTask_1","count_feedback","count_fixation_dot","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_select_target","count_showMathTask","count_showMathTask_2","currentSlope","datetime","description","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","foreground","height","itemIds","keyboard_backend","left_2nd_target","live_row","logfile","loop_rt","mouse_backend","opensesame_codename","opensesame_version","questionAbout","randomNumb1","randomNumb1x","randomNumb2","randomNumb2x","randomNumb3","randomNumb3x","randomNumb4","randomNumb4x","randomNumbx1","randomNumbx2","randomNumbx3","randomNumbx4","response_time","response_time_Question","response_time_feedback","right_1st_target","subject_nr","time_Form_blockNum","time_Question","time_calculateMathTask","time_calculateMathTask_1","time_experiment","time_eye_tracker__collect_Pupil_Trace","time_feedback","time_fixation_dot","time_globals","time_kill_blicks","time_logger","time_new_loop","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_select_target","time_showMathTask","time_showMathTask_2","time_vp_fragen","time_vp_fragen2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Y","100","10.0289998715","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","1","0","0","0","0","0","0","0","0","NA","0","0","0","1","1","-0.188334719651","02/25/17 14:35:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","0","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-2.csv","10.0289998715","psycho","Jazzy James","3.1.4"," tag","64","4","26","6","39","9","57","7","6","2","3","5","5140.35989686","6598.70703362","5140.35989686","Y","1","125702.211324","185536.716214","192661.049652","202673.277227","4790.46727697","125702.022753","213290.161037","192160.858968","125569.461868","NA","218431.253194","182636.599934","183861.201173","4795.07747118","NA","185154.872957","NA","212700.514181","197673.32007","207700.379919","125701.864051","125701.938575","mental arithmetic experiment","1","10.0289998715","1","yes","1440"
"Y","100","10.0284287263","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","1","1","1","1","1","1","1","1","0","NA","1","1","1","3","3","-0.117097861721","02/25/17 14:35:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","1","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-2.csv","10.0278575812","psycho","Jazzy James","3.1.4"," vp_name","86","6","72","2","43","3","47","7","8","7","4","4","4332.11018364","4175.45228479","4332.11018364","Y","1","125702.211324","222302.776918","226991.876041","237008.100727","4790.46727697","125702.022753","247585.374883","226492.330423","125569.461868","NA","251918.215517","182636.599934","220975.49537","4795.07747118","NA","221924.626945","218435.457281","247034.370084","232008.507136","242034.242761","125701.864051","125701.938575","mental arithmetic experiment","2","20.0568574527","2","yes","1440"
"Y","66.6666666667","10.0285913503","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","0","2","2","2","2","2","2","2","0","NA","2","2","2","5","5","-0.375266781101","02/25/17 14:35:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","2","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-2.csv","10.0289165983","psycho","Jazzy James","3.1.4"," vp_haarfarbe_fake","48","8","28","8","98","8","46","6","4","2","9","4","15323.9500192","5718.43088058","15323.9500192","Y","1","125702.211324","255638.76232","261898.739257","271912.94306","4790.46727697","125702.022753","282487.904275","261398.612235","125569.461868","NA","297812.67375","182636.599934","253835.497832","4795.07747118","NA","255244.533692","251921.121327","281940.201437","266913.345547","276940.080449","125701.864051","125701.938575","mental arithmetic experiment","2","30.085774051","3","yes","1440"
"Y","75","10.0284611606","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","1","3","3","3","3","3","3","3","0","NA","3","3","3","7","7","0.0317083371472","02/25/17 14:35:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","3","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-2.csv","10.0280705915","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe","61","1","35","5","35","5","28","8","6","3","3","2","6816.34953479","3186.16314174","6816.34953479","N","1","125702.211324","301305.657686","305036.752118","315050.055003","4790.46727697","125702.022753","325626.498841","304537.220982","125569.461868","NA","332443.644902","182636.599934","299677.576957","4795.07747118","NA","300925.243348","297815.531286","325076.268844","310049.95242","320076.147555","125701.864051","125701.938575","mental arithmetic experiment","3","40.1138446425","4","yes","1440"
"N","80","10.0283966239","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","1","4","4","4","4","4","4","4","0","NA","4","4","4","9","9","-0.207050284067","02/25/17 14:35:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","4","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-2.csv","10.0281384772","psycho","Jazzy James","3.1.4"," TU_Dresden","84","4","41","1","34","4","71","1","8","4","3","7","3962.47458812","4340.02988178","3962.47458812","N","1","125702.211324","336270.555945","341155.647759","351178.890922","4790.46727697","125702.022753","361775.3176","340656.024902","125569.461868","NA","365738.576946","182636.599934","334519.318464","4795.07747118","NA","335882.885378","332446.909752","361205.332559","346178.954886","356205.548586","125701.864051","125701.938575","mental arithmetic experiment","4","50.1419831197","5","yes","1440"
"Y","83.3333333333","10.0279726852","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","1","5","5","5","5","5","5","5","0","NA","5","5","5","11","11","-0.0550652713852","02/25/17 14:35:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","5","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-2.csv","10.0258529915","psycho","Jazzy James","3.1.4"," vp_haarfarbe","41","1","38","8","65","5","51","1","4","3","6","5","5203.76696313","3698.42239637","5203.76696313","Y","1","125702.211324","369975.084435","374224.444951","384241.697879","4790.46727697","125702.022753","394780.751172","373724.932522","125569.461868","NA","399985.505344","182636.599934","367627.187051","4795.07747118","NA","369588.380561","365741.256169","394265.954199","379241.647191","389265.820237","125701.864051","125701.938575","mental arithmetic experiment","5","60.1678361112","6","yes","1440"
"Y","85.7142857143","10.0273781141","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","1","6","6","6","6","6","6","6","0","NA","6","6","6","13","13","0.200383733129","02/25/17 14:35:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","6","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-2.csv","10.0238106876","psycho","Jazzy James","3.1.4"," TU_Chemnitz","61","1","58","8","53","3","94","4","6","5","5","9","5523.37471043","3570.05745243","5523.37471043","N","1","125702.211324","404270.213197","408383.309287","418410.529346","4790.46727697","125702.022753","428948.031827","407883.832459","125569.461868","NA","434472.400083","182636.599934","402061.906339","4795.07747118","NA","403885.058928","399988.749678","428432.797066","413410.450598","423433.373039","125701.864051","125701.938575","mental arithmetic experiment","6","70.1916467988","7","yes","1440"
"N","87.5","10.0278324635","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","1","7","7","7","7","7","7","7","0","NA","7","7","7","15","15","0.0953291847394","02/25/17 14:35:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","7","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-2.csv","10.0310129091","psycho","Jazzy James","3.1.4"," vp_monat_fake","72","2","36","6","97","7","84","4","7","3","9","8","4074.57321006","6146.37125218","4074.57321006","Y","1","125702.211324","437852.880195","444540.164205","454552.448804","4790.46727697","125702.022753","465131.712766","444040.187135","125569.461868","NA","469207.2406","182636.599934","436356.682096","4795.07747118","NA","437466.397779","434475.019264","464581.663194","449552.550783","459582.169772","125701.864051","125701.938575","mental arithmetic experiment","7","80.2226597079","8","yes","1440"
"N","77.7777777778","10.0279501404","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","0","8","8","8","8","8","8","8","0","NA","8","8","8","17","17","-0.0614761864649","02/25/17 14:35:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","8","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-2.csv","10.028891556","psycho","Jazzy James","3.1.4"," vp_alter","83","3","31","1","75","5","94","4","8","3","7","9","5902.39120636","2812.45229143","5902.39120636","N","1","125702.211324","472521.747867","475870.932062","485887.176359","4790.46727697","125702.022753","496470.955777","475371.686347","125569.461868","NA","502374.268418","182636.599934","471098.871166","4795.07747118","NA","472140.289296","469209.86129","495914.460984","480887.053561","490914.359307","125701.864051","125701.938575","mental arithmetic experiment","7","90.251551264","9","yes","1440"
"Y","80","10.0284486093","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","1","9","9","9","9","9","9","9","0","NA","9","9","9","19","19","-0.217393131597","02/25/17 14:35:55","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","9","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP01/subject-2.csv","10.0329348291","psycho","Jazzy James","3.1.4"," vp_monat","39","9","26","6","65","5","37","7","3","2","6","3","3831.84407165","4219.39304742","3831.84407165","Y","1","125702.211324","506185.692467","510946.804755","520959.036554","4790.46727697","125702.022753","531500.418176","510446.872038","125569.461868","NA","535333.181873","182636.599934","504280.049385","4795.07747118","NA","505805.008698","502376.928633","530990.323118","515959.323484","525990.028343","125701.864051","125701.938575","mental arithmetic experiment","8","100.284486093","10","yes","1440"
