"VPanswer","accuracy","average_response_time","background","bidi","block_nr","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct_answer","correct_selection","count_Question","count_calculateMathTask","count_calculateMathTask_1","count_feedback","count_fixation_dot","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_select_target","count_showMathTask","count_showMathTask_2","currentSlope","datetime","description","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","foreground","height","itemIds","keyboard_backend","left_2nd_target","live_row","logfile","loop_rt","mouse_backend","opensesame_codename","opensesame_version","questionAbout","randomNumb1","randomNumb1x","randomNumb2","randomNumb2x","randomNumb3","randomNumb3x","randomNumb4","randomNumb4x","randomNumbx1","randomNumbx2","randomNumbx3","randomNumbx4","response_time","response_time_Question","response_time_feedback","right_1st_target","subject_nr","time_Form_blockNum","time_Question","time_calculateMathTask","time_calculateMathTask_1","time_experiment","time_eye_tracker__collect_Pupil_Trace","time_feedback","time_fixation_dot","time_globals","time_kill_blicks","time_logger","time_new_loop","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_select_target","time_showMathTask","time_showMathTask_2","time_vp_fragen","time_vp_fragen2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"N","0","10.0259892096","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","0","0","0","0","0","0","0","0","0","NA","0","0","0","1","1","-0.102290390102","03/16/17 19:13:10","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","0","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP12/subject-12_5.csv","10.0259892096","psycho","Jazzy James","3.1.4"," vp_name","46","6","74","4","25","5","69","9","4","7","2","6","3000.11465073","1287.96251766","3000.11465073","N","12","165714.662984","193486.864646","195294.082453","205311.237824","4960.34804342","165714.493723","215885.916786","194794.044437","165570.709332","NA","218886.724772","190493.00178","191429.127442","4964.67309153","NA","193114.368935","NA","215335.474386","200311.146405","210335.419776","165714.318127","165714.39084","mental arithmetic experiment","0","10.0259892096","1","yes","1440"
"Y","50","10.026904756","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","1","1","1","1","1","1","1","1","0","NA","1","1","1","3","3","-0.11266275638","03/16/17 19:13:10","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","1","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP12/subject-12_5.csv","10.0278203025","psycho","Jazzy James","3.1.4"," TU_Chemnitz","46","6","54","4","51","1","86","6","4","5","5","8","837.033333797","1227.14392348","837.033333797","Y","12","165714.662984","222506.686552","224265.612866","234281.789179","4960.34804342","165714.493723","244839.96085","223765.577263","165570.709332","NA","245677.658856","190493.00178","221004.084583","4964.67309153","NA","222137.808373","218890.751427","244308.025491","229281.726423","239307.859851","165714.318127","165714.39084","mental arithmetic experiment","1","20.053809512","2","yes","1440"
"Y","33.3333333333","10.0265803648","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","0","2","2","2","2","2","2","2","0","NA","2","2","2","5","5","0.00233434593684","03/16/17 19:13:10","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","2","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP12/subject-12_5.csv","10.0259315825","psycho","Jazzy James","3.1.4"," vp_name_fake","96","6","57","7","28","8","75","5","9","5","2","7","1208.03134431","2945.6851196","1208.03134431","N","12","165714.662984","248947.060928","252414.130522","262429.30153","4960.34804342","165714.493723","272987.859091","251914.531196","165570.709332","NA","274196.660707","190493.00178","247408.207605","4964.67309153","NA","248565.0305","245680.43099","272453.526325","257429.189594","267453.936352","165714.318127","165714.39084","mental arithmetic experiment","1","30.0797410945","3","yes","1440"
"Y","50","10.0268710396","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","1","3","3","3","3","3","3","3","0","NA","3","3","3","7","7","-0.162958788134","03/16/17 19:13:10","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","3","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP12/subject-12_5.csv","10.0277430641","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe","24","4","45","5","57","7","71","1","2","4","5","7","1349.20139729","2354.20107446","1349.20139729","Y","12","165714.662984","277497.341913","280376.630379","290391.87772","4960.34804342","165714.493723","300933.465463","279876.615897","165570.709332","NA","302283.600962","190493.00178","276015.320657","4964.67309153","NA","277125.693109","274199.367671","300418.004208","285392.425629","295417.922746","165714.318127","165714.39084","mental arithmetic experiment","2","40.1074841586","4","yes","1440"
"Y","60","10.0268574173","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","1","4","4","4","4","4","4","4","0","NA","4","4","4","9","9","0.147411537517","03/16/17 19:13:10","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","4","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP12/subject-12_5.csv","10.0268029281","psycho","Jazzy James","3.1.4"," vp_haarfarbe","52","2","51","1","68","8","79","9","5","5","6","7","966.007565741","3454.40943708","966.007565741","N","12","165714.662984","306100.095522","310087.179513","320102.432587","4960.34804342","165714.493723","330659.547359","309587.162014","165570.709332","NA","331626.457045","190493.00178","304128.84872","4964.67309153","NA","305721.335657","302286.193879","330127.589673","315102.116392","325127.466273","165714.318127","165714.39084","mental arithmetic experiment","3","50.1342870866","5","yes","1440"
"N","66.6666666667","10.0268357141","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","1","5","5","5","5","5","5","5","0","NA","5","5","5","11","11","-0.135231846168","03/16/17 19:13:10","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","5","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP12/subject-12_5.csv","10.0267271982","psycho","Jazzy James","3.1.4"," vp_monat_fake","97","7","28","8","29","9","95","5","9","2","2","9","1352.70608922","1451.75285887","1352.70608922","N","12","165714.662984","336829.674869","338806.710025","348818.959551","4960.34804342","165714.493723","359359.7203","338306.703387","165570.709332","NA","360713.438937","190493.00178","333450.36649","4964.67309153","NA","336446.49914","331629.230989","358844.111206","343818.83615","353844.087069","165714.318127","165714.39084","mental arithmetic experiment","4","60.1610142849","6","yes","1440"
"Y","71.4285714286","10.0268251255","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","1","6","6","6","6","6","6","6","0","NA","6","6","6","13","13","0.0806775459375","03/16/17 19:13:10","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","6","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP12/subject-12_5.csv","10.0267615935","psycho","Jazzy James","3.1.4"," tag","67","7","52","2","73","3","24","4","6","5","7","2","1180.66511908","694.742720734","1180.66511908","N","12","165714.662984","372705.184989","373926.412331","383941.548943","4960.34804342","165714.493723","394482.473523","373426.360437","165570.709332","NA","395664.023867","190493.00178","362503.093458","4964.67309153","NA","372329.183379","360716.125083","393966.749175","378941.469291","388967.361953","165714.318127","165714.39084","mental arithmetic experiment","5","70.1877758783","7","yes","1440"
"Y","75","10.0269472598","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","Y","1","7","7","7","7","7","7","7","0","NA","7","7","7","15","15","0.0631509768399","03/16/17 19:13:10","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","7","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP12/subject-12_5.csv","10.0278021997","psycho","Jazzy James","3.1.4"," vp_monat","35","5","72","2","98","8","29","9","3","7","9","2","2748.11776682","1559.17667497","2748.11776682","N","12","165714.662984","403871.500663","405967.935508","415981.243743","4960.34804342","165714.493723","426537.796123","405468.593845","165570.709332","NA","429286.801226","190493.00178","397510.366237","4964.67309153","NA","403495.572068","395666.611956","426007.354543","410981.212969","421007.19554","165714.318127","165714.39084","mental arithmetic experiment","6","80.2155780781","8","yes","1440"
"Y","66.6666666667","10.0270455049","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","0","8","8","8","8","8","8","8","0","NA","8","8","8","17","17","-0.101442076829","03/16/17 19:13:10","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","8","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP12/subject-12_5.csv","10.0278314658","psycho","Jazzy James","3.1.4"," TU_Dresden","52","2","57","7","89","9","31","1","5","5","8","3","999.716088576","1308.01251745","999.716088576","Y","12","165714.662984","437921.518555","439746.582352","449760.774605","4960.34804342","165714.493723","460324.950655","439247.324866","165570.709332","NA","461325.600845","190493.00178","431335.027248","4964.67309153","NA","437550.641833","429289.692537","459786.966565","444761.152952","454786.719764","165714.318127","165714.39084","mental arithmetic experiment","6","90.2434095439","9","yes","1440"
"Y","60","10.0269081654","#4c4c4c","no","5","psycho","psycho","psycho","0","uniform","N","0","9","9","9","9","9","9","9","0","NA","9","9","9","19","19","-0.577111072104","03/16/17 19:13:10","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","9","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP12/subject-12_5.csv","10.0256721098","psycho","Jazzy James","3.1.4"," vp_alter_fake","38","8","64","4","38","8","46","6","3","6","3","4","812.474241298","1244.84479006","812.474241298","Y","12","165714.662984","476015.220488","477785.297793","487805.483564","4960.34804342","165714.493723","498358.800983","477285.243485","165570.709332","NA","499172.167991","190493.00178","463190.2816","4964.67309153","NA","475616.115549","461328.433624","497829.617242","482805.595499","492829.529745","165714.318127","165714.39084","mental arithmetic experiment","6","100.269081654","10","yes","1440"
