"VPanswer","accuracy","average_response_time","background","bidi","block_nr","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct_answer","correct_selection","count_Question","count_calculateMathTask","count_calculateMathTask_1","count_feedback","count_fixation_dot","count_logger","count_pygaze_drift_correct","count_pygaze_init","count_pygaze_log","count_pygaze_start_recording","count_pygaze_stop_recording","count_select_target","count_showMathTask","count_showMathTask_2","currentSlope","datetime","description","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","foreground","height","itemIds","keyboard_backend","left_2nd_target","live_row","logfile","loop_rt","mouse_backend","opensesame_codename","opensesame_version","questionAbout","randomNumb1","randomNumb1x","randomNumb2","randomNumb2x","randomNumb3","randomNumb3x","randomNumb4","randomNumb4x","randomNumbx1","randomNumbx2","randomNumbx3","randomNumbx4","response_time","response_time_Question","response_time_feedback","right_1st_target","subject_nr","time_Form_blockNum","time_Question","time_calculateMathTask","time_calculateMathTask_1","time_experiment","time_eye_tracker__collect_Pupil_Trace","time_feedback","time_fixation_dot","time_globals","time_kill_blicks","time_logger","time_new_loop","time_pygaze_drift_correct","time_pygaze_init","time_pygaze_log","time_pygaze_start_recording","time_pygaze_stop_recording","time_select_target","time_showMathTask","time_showMathTask_2","time_vp_fragen","time_vp_fragen2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Y","100","10.0299376898","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","1","0","0","0","0","0","0","0","0","NA","0","0","0","1","1","0.121692498214","02/27/17 10:28:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","0","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP02/subject-2_2.csv","10.0299376898","psycho","Jazzy James","3.1.4"," vp_monat","81","1","75","5","78","8","43","3","8","7","7","4","3498.53849162","2962.56740317","3498.53849162","N","2","285333.370545","317624.96651","321106.415853","331124.595702","4548.27262019","285333.193438","341680.242845","320606.430335","285188.625096","NA","345179.431231","310233.050244","311460.358546","4550.81276038","NA","317238.524263","NA","341152.884216","326124.73087","336152.81271","285333.035038","285333.109561","mental arithmetic experiment","1","10.0299376898","1","yes","1440"
"Y","50","10.028542257","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","0","1","1","1","1","1","1","1","0","NA","1","1","1","3","3","-0.0886741134932","02/27/17 10:28:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","1","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP02/subject-2_2.csv","10.0271468243","psycho","Jazzy James","3.1.4"," TU_Dresden","73","3","61","1","98","8","24","4","7","6","9","2","5829.86310578","2886.58435474","5829.86310578","Y","2","285333.370545","351563.947026","354972.279917","364987.568127","4548.27262019","285333.193438","375579.843193","354472.156214","285188.625096","NA","381410.408088","310233.050244","347365.413302","4550.81276038","NA","351166.655403","345183.446155","375012.839188","359987.81312","370013.473394","285333.035038","285333.109561","mental arithmetic experiment","1","20.057084514","2","yes","1440"
"N","66.6666666667","10.0290107201","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","1","2","2","2","2","2","2","2","0","NA","2","2","2","5","5","-0.0795829512319","02/27/17 10:28:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","2","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP02/subject-2_2.csv","10.0299476464","psycho","Jazzy James","3.1.4"," vp_name_fake","39","9","64","4","46","6","84","4","3","6","4","8","5138.27064094","3064.57700737","5138.27064094","N","2","285333.370545","384632.996358","388217.225282","398234.45322","4548.27262019","285333.193438","408774.508023","387717.506179","285188.625096","NA","413913.631311","310233.050244","383170.78166","4550.81276038","NA","384257.924549","381413.685318","408262.784879","393234.374774","403262.43489","285333.035038","285333.109561","mental arithmetic experiment","2","30.0870321604","3","yes","1440"
"N","75","10.0296899816","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","1","3","3","3","3","3","3","3","0","NA","3","3","3","7","7","0.191063657572","02/27/17 10:28:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","3","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP02/subject-2_2.csv","10.031727766","psycho","Jazzy James","3.1.4"," vp_alter_fake","46","6","81","1","56","6","26","6","4","8","5","2","3941.6114729","2026.54248874","3941.6114729","Y","2","285333.370545","418182.031714","420725.183322","430741.325387","4548.27262019","285333.193438","441282.247018","420225.155263","285188.625096","NA","445224.577176","310233.050244","415725.931878","4550.81276038","NA","417802.324655","413916.301491","440771.626643","425741.770718","435771.515914","285333.035038","285333.109561","mental arithmetic experiment","3","40.1187599264","4","yes","1440"
"Y","80","10.0300666429","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","1","4","4","4","4","4","4","4","0","NA","4","4","4","9","9","-0.20944158021","02/27/17 10:28:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","4","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP02/subject-2_2.csv","10.0315732878","psycho","Jazzy James","3.1.4"," vp_alter","75","5","57","7","31","1","79","9","7","5","3","7","2027.84318293","2727.62449976","2027.84318293","Y","2","285333.370545","449047.870434","452293.950248","462310.236231","4548.27262019","285333.193438","472851.122863","451793.967446","285188.625096","NA","474879.725765","310233.050244","447076.809145","4550.81276038","NA","448670.086206","445227.113093","472340.513954","457310.838756","467340.522402","285333.035038","285333.109561","mental arithmetic experiment","4","50.1503332143","5","yes","1440"
"Y","83.3333333333","10.0302361364","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","1","5","5","5","5","5","5","5","0","NA","5","5","5","11","11","0.237507872101","02/27/17 10:28:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","5","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP02/subject-2_2.csv","10.0310836041","psycho","Jazzy James","3.1.4"," vp_haarfarbe","62","2","97","7","95","5","62","2","6","9","9","6","8482.90994646","2336.53252007","8482.90994646","N","2","285333.370545","478350.279268","481213.738058","491230.053307","4548.27262019","285333.193438","501771.02623","480713.925725","285188.625096","NA","510254.740549","310233.050244","476697.520565","4550.81276038","NA","477968.976136","474882.322929","501259.452133","486229.9993","496259.677213","285333.035038","285333.109561","mental arithmetic experiment","5","60.1814168183","6","yes","1440"
"N","71.4285714286","10.0310575273","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","0","6","6","6","6","6","6","6","0","NA","6","6","6","13","13","0.344181158101","02/27/17 10:28:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","6","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP02/subject-2_2.csv","10.0359858725","psycho","Jazzy James","3.1.4"," TU_Chemnitz","52","2","91","1","79","9","73","3","5","9","7","7","4877.62039643","2792.43684498","4877.62039643","Y","2","285333.370545","515509.121755","518817.782731","528834.037034","4548.27262019","285333.193438","539375.315292","518318.27513","285188.625096","NA","544253.746398","310233.050244","512260.905194","4550.81276038","NA","515118.623853","510257.395039","538868.432264","523833.984535","533868.559889","285333.035038","285333.109561","mental arithmetic experiment","5","70.2174026908","7","yes","1440"
"Y","75","10.0311589197","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","Y","1","7","7","7","7","7","7","7","0","NA","7","7","7","15","15","-0.130276847335","02/27/17 10:28:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","7","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP02/subject-2_2.csv","10.031868667","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe","32","2","57","7","67","7","35","5","3","5","6","3","1464.95397033","2299.62822654","1464.95397033","Y","2","285333.370545","550598.080367","553421.777923","563436.99161","4548.27262019","285333.193438","573978.893212","552921.599911","285188.625096","NA","575444.81418","310233.050244","546072.421904","4550.81276038","NA","550218.064956","544256.431361","573467.297392","558437.35578","568467.553548","285333.035038","285333.109561","mental arithmetic experiment","6","80.2492713578","8","yes","1440"
"N","77.7777777778","10.031145221","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","1","8","8","8","8","8","8","8","0","NA","8","8","8","17","17","-0.284605019111","02/27/17 10:28:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","NY","psycho","Y","8","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP02/subject-2_2.csv","10.0310356314","psycho","Jazzy James","3.1.4"," vp_monat_fake","28","8","81","1","51","1","51","1","2","8","5","5","2071.56865348","2083.25076394","2071.56865348","N","2","285333.370545","578840.577314","581435.472776","591456.902097","4548.27262019","285333.193438","602043.580044","580936.25814","285188.625096","NA","604116.042076","310233.050244","577255.36872","4550.81276038","NA","578457.554104","575447.615605","601486.075542","586457.014033","596486.706127","285333.035038","285333.109561","mental arithmetic experiment","7","90.2803069892","9","yes","1440"
"Y","70","10.0308127845","#4c4c4c","no","2","psycho","psycho","psycho","0","uniform","N","0","9","9","9","9","9","9","9","0","NA","9","9","9","19","19","-0.188781982867","02/27/17 10:28:50","Standardbeschreibung","mentalarithmeticexperiment.osexp","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/exp","no","mono","no","18","white","900","YN","psycho","N","9","C:/Users/trjul/Documents/Masterarbeit/OpenSesame/mental-arithmetic/Data/dataRaw/VP02/subject-2_2.csv","10.027820856","psycho","Jazzy James","3.1.4"," vp_lieblingsfarbe_fake","36","6","97","7","28","8","62","2","3","9","2","6","1748.54905165","1908.44724088","1748.54905165","Y","2","285333.370545","607686.417748","610126.344141","620139.557758","4548.27262019","285333.193438","630661.781495","609626.384873","285188.625096","NA","632411.24927","310233.050244","605911.828563","4550.81276038","NA","607298.560758","604118.627775","630165.861892","615139.869128","625165.892063","285333.035038","285333.109561","mental arithmetic experiment","7","100.308127845","10","yes","1440"
