"tracker"	"model1"	"model2"	"p"	"z"	"auc1"	"auc2"	"p.holm"	"different"	"significance"
"Eyelink"	"LogR"	"kNN"	"0.592758682898157"	"0.534842628620859"	"0.871031746031746"	"0.865575396825397"	1	0	""
"Eyelink"	"LogR"	"DS"	"6.65567988615113e-06"	"4.50441254794331"	"0.871031746031746"	"0.771471088435374"	5.3245439089209e-05	1	"***"
"Eyelink"	"LogR"	"DS_full"	"1.8650735598478e-06"	"4.76752014021929"	"0.871031746031746"	"0.789930555555556"	1.67856620386302e-05	1	"***"
"Eyelink"	"kNN"	"DS"	"0.000195817262270085"	"3.72435236805132"	"0.865575396825397"	"0.771471088435374"	0.00117490357362051	1	"**"
"Eyelink"	"kNN"	"DS_full"	"9.66387865017246e-06"	"4.4245605735774"	"0.865575396825397"	"0.789930555555556"	6.76471505512072e-05	1	"***"
"Eyelink"	"SVM"	"LogR"	"2.45964187316565e-09"	"5.96411452452465"	"0.963364512471655"	"0.871031746031746"	2.70560606048221e-08	1	"***"
"Eyelink"	"SVM"	"kNN"	"2.76634312983617e-12"	"6.98911058636687"	"0.963364512471655"	"0.865575396825397"	3.59624606878702e-11	1	"***"
"Eyelink"	"SVM"	"DS"	"1.48914080238393e-14"	"7.68846213057859"	"0.963364512471655"	"0.771471088435374"	2.0847971233375e-13	1	"***"
"Eyelink"	"SVM"	"DS_full"	"1.04937616589072e-15"	"8.0209415968033"	"0.963364512471655"	"0.789930555555556"	1.57406424883608e-14	1	"***"
"EyeSeeCam"	"LogR"	"kNN"	"0.000685811880350825"	"3.39518920697323"	"0.92718962585034"	"0.904141865079365"	0.00480068316245578	1	"**"
"EyeSeeCam"	"LogR"	"DS"	"0.00123264639777243"	"3.23121625799502"	"0.92718962585034"	"0.88265306122449"	0.00616323198886215	1	"**"
"EyeSeeCam"	"LogR"	"DS_full"	"4.77712244352889e-08"	"5.45941266777787"	"0.92718962585034"	"0.832908163265306"	5.25483468788178e-07	1	"***"
"EyeSeeCam"	"kNN"	"DS"	"0.179623603139672"	"1.34191485948241"	"0.904141865079365"	"0.88265306122449"	0.718494412558688	0	""
"EyeSeeCam"	"kNN"	"DS_full"	"3.42292877796772e-06"	"4.64365867703018"	"0.904141865079365"	"0.832908163265306"	2.73834302237418e-05	1	"***"
"EyeSeeCam"	"SVM"	"LogR"	"2.30193181864978e-07"	"5.17313936856069"	"0.98061933106576"	"0.92718962585034"	2.30193181864978e-06	1	"***"
"EyeSeeCam"	"SVM"	"kNN"	"1.3677278964622e-09"	"6.05923225059524"	"0.98061933106576"	"0.904141865079365"	1.91481905504708e-08	1	"***"
"EyeSeeCam"	"SVM"	"DS"	"5.49155190007475e-09"	"5.83154797065623"	"0.98061933106576"	"0.88265306122449"	6.5898622800897e-08	1	"***"
"EyeSeeCam"	"SVM"	"DS_full"	"2.48740374717175e-13"	"7.31958425007871"	"0.98061933106576"	"0.832908163265306"	3.73110562075762e-12	1	"***"
"EyeTribe"	"LogR"	"kNN"	"0.0117914513391956"	"2.51832484856015"	"0.894982993197279"	"0.876984126984127"	0.0707487080351736	0	""
"EyeTribe"	"LogR"	"DS"	"1.3255534901887e-08"	"5.68273788193195"	"0.894982993197279"	"0.75953089569161"	1.45810883920757e-07	1	"***"
"EyeTribe"	"LogR"	"DS_full"	"0.00340836209493932"	"2.92828614585551"	"0.894982993197279"	"0.863803854875283"	0.0238585346645752	1	"*"
"EyeTribe"	"kNN"	"DS"	"1.51685442743472e-06"	"4.80900232456949"	"0.876984126984127"	"0.75953089569161"	1.21348354194778e-05	1	"***"
"EyeTribe"	"kNN"	"DS_full"	"0.260390410721954"	"1.12546884814801"	"0.876984126984127"	"0.863803854875283"	1	0	""
"EyeTribe"	"SVM"	"LogR"	"1.53496627406176e-08"	"5.65760867031519"	"0.968891723356009"	"0.894982993197279"	1.53496627406176e-07	1	"***"
"EyeTribe"	"SVM"	"kNN"	"7.50055437960264e-11"	"6.51029063127719"	"0.968891723356009"	"0.876984126984127"	1.05007761314437e-09	1	"***"
"EyeTribe"	"SVM"	"DS"	"5.38760680228435e-18"	"8.64484991055089"	"0.968891723356009"	"0.75953089569161"	8.08141020342652e-17	1	"***"
"EyeTribe"	"SVM"	"DS_full"	"1.32245369180799e-09"	"6.06464506653427"	"0.968891723356009"	"0.863803854875283"	1.58694443016959e-08	1	"***"
